ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0022613	ribonucleoprotein complex biogenesis	91/2078	440/28891	3.03261868102457e-20	1.85808546586376e-16	1.15079898369406e-16	Nop56/Rrp12/Nop2/mt-Rnr1/mt-Rnr2/Nol10/Ddx21/Rps25/Ppan/Rps19/Rsl1d1/Heatr3/Wdr43/Rps27/Ncl/Hsp90aa1/Rpl38/Rpl24/Eif5b/Rrp1b/Ddx20/Prmt7/Tbl3/Utp18/Rrp9/Rpl35a/Noc2l/Rpl35/Zfp593/Grwd1/Rps15/Rnasel/Rpl26/Fau/Utp4/Kri1/Lyar/Rpl11/Strap/Usp36/Ftsj3/Tssc4/Ptges3/Nufip1/Nop58/Gnl2/Mphosph10/Eif2s2/Luc7l2/Naf1/Srsf6/Snrpf/Rpsa/Aatf/Pdcd11/Bysl/Wdr77/Brix1/Rps15a/Rps8/Afg2a/Ddx49/Mybbp1a/Rps11/Nmd3/Xpo1/Heatr1/Rps7/C1qbp/Sde2/Tsc1/Mrto4/Noc4l/Gemin5/Gtpbp4/Rbmx/Xrcc5/Nat10/Rpf2/Rps5/Ltv1/Wdr36/Ipo4/Nol9/Ago1/Sart1/Abce1/Nop14/Rpl13a/Slu7/Rpl6	91
GO:0042254	ribosome biogenesis	74/2078	322/28891	2.03915142357679e-19	6.2469403861275e-16	3.86902151683912e-16	Nop56/Rrp12/Nop2/mt-Rnr1/mt-Rnr2/Nol10/Ddx21/Rps25/Ppan/Rps19/Rsl1d1/Heatr3/Wdr43/Rps27/Ncl/Rpl38/Rpl24/Eif5b/Rrp1b/Tbl3/Utp18/Rrp9/Rpl35a/Noc2l/Rpl35/Zfp593/Grwd1/Rps15/Rnasel/Rpl26/Fau/Utp4/Kri1/Lyar/Rpl11/Usp36/Ftsj3/Nop58/Gnl2/Mphosph10/Naf1/Rpsa/Aatf/Pdcd11/Bysl/Brix1/Rps15a/Rps8/Afg2a/Ddx49/Mybbp1a/Rps11/Nmd3/Xpo1/Heatr1/Rps7/C1qbp/Sde2/Tsc1/Mrto4/Noc4l/Gtpbp4/Xrcc5/Nat10/Rpf2/Rps5/Ltv1/Wdr36/Ipo4/Nol9/Sart1/Abce1/Nop14/Rpl6	74
GO:0008202	steroid metabolic process	73/2078	358/28891	3.6962803708312e-16	7.54903661069425e-13	4.67547043398122e-13	Nr1d1/Aplp2/G6pc1/Afp/Hmgcs2/Akr1c19/Insig1/Hsd17b11/Hsd17b6/Ldlr/Nr5a2/Akr1c13/Akr1c14/Hsd17b2/Fdps/Erlin2/Lss/Msmo1/Sqle/Hmgcr/Akr1c12/App/Cyp24a1/Atp8b1/Cyp51/Fdft1/Ddx20/Pcsk9/Por/Lpcat3/Acaa1b/Cacna1h/Nfe2l1/Sirt1/Kit/Sgpl1/Npc1/Pmvk/Mvk/Ppargc1a/Rorc/Slc27a2/Hsd17b7/Lrp1/Fgf15/Hmgcs1/Rdh16/Idi1/Dhrs11/Rdh7/Thrb/Insig2/Hint2/Gfi1/Npc1l1/Tiparp/Abcd3/Sdr42e1/Mbtps1/Mttp/G6pdx/Lipa/Igf1r/Hnf1a/Kcnma1/Pde8b/Ces1e/Fmo5/Prkaa1/Nr3c1/Mecp2/Cyb5r3/Hsd3b3	73
GO:0002181	cytoplasmic translation	43/2078	148/28891	1.01474134657902e-15	1.55433005762241e-12	9.62669093267726e-13	Rpl36/Pkm/Rps25/Rps19/Hnrnpd/Rpl38/Rpl24/Rpl28/Etf1/Rpl35a/Rpl41/Rps15/Rpl26/Fau/Aars1/Rpl11/Rpl34/Hnrnpu/Uba52/Eif2s2/Rpl29/Rpsa/Rpl23/Syncrip/Rpl18/Rps15a/Rps8/Eif4a1/Rpl8/Rps11/Rps7/Rpl9/Rpl22l1/Rps26/Rps20/Rpl39/Rpl21/Rps5/Rpl17/Cpeb1/Nck1/Rpl13a/Rpl6	43
GO:0015711	organic anion transport	81/2078	436/28891	2.41384578480475e-15	2.95792662469974e-12	1.83198190615181e-12	Per2/Nos2/Abcc3/Tnfrsf11a/Arl6ip1/Slc7a5/Abcg2/Car4/Crot/Acsl1/Acsl4/Cck/Crabp2/Xk/Ceacam1/Slc2a1/Slc15a4/Slc1a3/Psap/Pla2g2f/Slc27a4/Atp8b1/Syk/Slc10a5/Slc25a1/Nfe2l1/Mfsd2a/Cd47/Slc1a5/Slc5a6/Slc16a9/Arg2/Slc39a8/Slc7a2/Mgst1/Psen1/Acsl6/Slc17a8/Slc37a2/Slc17a5/Slc27a2/Slc2a2/Slc23a1/Slc44a4/Abat/Pla2g5/Slc26a3/Mpc2/Slc66a1/Slc25a10/Slc25a23/Slc5a8/Prkcd/Slc52a3/Slc38a2/Pparg/Slc7a1/Abcd3/Plin2/Slc38a11/Myc/Slc1a2/Slc6a7/Slc25a44/Slc38a4/Hnf1a/Slc16a13/Acsl3/Ces1e/Slc43a2/Pla2g12b/Slc6a1/Slc35b4/Slc3a1/Rbp2/Slc1a1/Nr3c1/Llgl2/Trpc4/Pla2g2d/Ctns	81
GO:0048511	rhythmic process	66/2078	317/28891	3.33492327246939e-15	3.40551248173666e-12	2.10919270127231e-12	Tef/Dbp/Bmal1/Nr1d2/Per3/Per2/Ciart/Npas2/Nos2/Hlf/Usp2/Arrb1/Nr1d1/Afp/Tnfrsf11a/Cry2/Siah2/Per1/Prkcg/Erbb2/Cry1/Relb/Enpp2/Cipc/Id3/Nampt/Klf9/Hnrnpd/Mat2a/Top2a/Cbx3/Sirt1/Sgpl1/Pgr/Ppargc1a/Id1/Rorc/Hnrnpu/Src/Fbxl3/Atf4/Bhlhe40/Ncor1/Fbxl21/Zfhx3/Id2/Sp1/Sfpq/Kdm5c/Pparg/Clock/Mybbp1a/Gfpt1/Fas/Casp1/Thrap3/Kdm2a/Mttp/Kmt2a/Igf1r/Kcnma1/Enox2/Parp1/Prkaa1/Ppara/Timeless	66
GO:0032922	circadian regulation of gene expression	29/2078	74/28891	7.55025354859651e-15	6.60862907032155e-12	4.09303218687074e-12	Bmal1/Per3/Per2/Ciart/Npas2/Usp2/Nr1d1/Cry2/Per1/Cry1/Relb/Id3/Nampt/Sirt1/Ppargc1a/Id1/Rorc/Hnrnpu/Atf4/Bhlhe40/Ncor1/Zfhx3/Id2/Clock/Mybbp1a/Gfpt1/Kdm2a/Kmt2a/Ppara	29
GO:0045088	regulation of innate immune response	84/2078	474/28891	1.21489519239625e-14	9.30457855476476e-12	5.76275943235325e-12	Cd74/Rnf125/Casp4/Nr1d1/Cyba/Lrrc19/Nlrp6/Cd14/Ikbke/Dab2ip/Parp14/Ceacam1/Alpk1/Slc15a4/Lyn/H2-T23/Pdpk1/Rps19/Irf1/App/Cd300lf/Clec2d/Hsp90aa1/Serpinb1a/Syk/Tap1/Ptprs/Tlr3/Trim31/Trim56/Trim25/Nlrc3/Lamp2/Lyar/Src/Lamp1/Irak2/Rbm47/Hspa8/Pla2g5/Ptpn2/Tap2/Nlrc4/Tnip1/Aim2/Sec14l1/Trim21/F2rl1/Oasl1/Trim30a/Rab11fip2/Sfpq/Gfi1/Tlr2/Pparg/Parp9/Rigi/H2-T3/Irgm2/Lag3/Lgals9/Smpdl3b/Nfkbiz/C1qbp/Unc93b1/Samhd1/Casp1/Xrcc5/Lrp8/Nfkbia/H2-D1/Zdhhc18/Gpr108/Parp1/Fbxl2/Dtx4/Pycard/Ecsit/Lbp/Pik3ap1/Polr3c/Inava/Nlrc5/Trim11	84
GO:0046942	carboxylic acid transport	70/2078	362/28891	2.45497886719547e-14	1.67129505770074e-11	1.03511097265961e-11	Per2/Nos2/Abcc3/Tnfrsf11a/Arl6ip1/Slc7a5/Abcg2/Crot/Acsl1/Acsl4/Cck/Crabp2/Xk/Ceacam1/Slc2a1/Slc15a4/Slc1a3/Psap/Pla2g2f/Slc27a4/Atp8b1/Syk/Slc10a5/Slc25a1/Nfe2l1/Mfsd2a/Slc1a5/Slc5a6/Slc16a9/Arg2/Slc7a2/Psen1/Acsl6/Slc17a8/Slc17a5/Slc27a2/Slc23a1/Abat/Pla2g5/Mpc2/Slc66a1/Slc25a10/Slc5a8/Prkcd/Slc38a2/Pparg/Slc7a1/Abcd3/Plin2/Slc38a11/Myc/Slc1a2/Slc6a7/Slc25a44/Slc38a4/Hnf1a/Slc16a13/Acsl3/Ces1e/Slc43a2/Pla2g12b/Slc6a1/Slc3a1/Rbp2/Slc1a1/Nr3c1/Llgl2/Trpc4/Pla2g2d/Ctns	70
GO:0015849	organic acid transport	70/2078	364/28891	3.26422538450296e-14	1.99999089308496e-11	1.23868763275086e-11	Per2/Nos2/Abcc3/Tnfrsf11a/Arl6ip1/Slc7a5/Abcg2/Crot/Acsl1/Acsl4/Cck/Crabp2/Xk/Ceacam1/Slc2a1/Slc15a4/Slc1a3/Psap/Pla2g2f/Slc27a4/Atp8b1/Syk/Slc10a5/Slc25a1/Nfe2l1/Mfsd2a/Slc1a5/Slc5a6/Slc16a9/Arg2/Slc7a2/Psen1/Acsl6/Slc17a8/Slc17a5/Slc27a2/Slc23a1/Abat/Pla2g5/Mpc2/Slc66a1/Slc25a10/Slc5a8/Prkcd/Slc38a2/Pparg/Slc7a1/Abcd3/Plin2/Slc38a11/Myc/Slc1a2/Slc6a7/Slc25a44/Slc38a4/Hnf1a/Slc16a13/Acsl3/Ces1e/Slc43a2/Pla2g12b/Slc6a1/Slc3a1/Rbp2/Slc1a1/Nr3c1/Llgl2/Trpc4/Pla2g2d/Ctns	70
