ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0022626	cytosolic ribosome	40/2091	142/28573	5.53077119045118e-14	1.78575179274243e-11	1.24112734409681e-11	Rpl36/Rps25/Rps19/Rsl1d1/Rps27/Rpl38/Rpl24/Rpl28/Larp4/Etf1/Rpl35a/Rpl35/Rpl41/Rps15/Rpl26/Fau/Ppargc1a/Rpl11/Rpl34/Uba52/Rpl29/Rpsa/Rpl23/Rpl18/Rps15a/Rps8/Rpl8/Rps11/Rps7/Rpl9/Rps26/Rps20/Rpl39/Gspt1/Rpl21/Rps5/Rpl17/Abce1/Rpl13a/Rpl6	40
GO:0010008	endosome membrane	64/2091	316/28573	7.4531668856078e-14	1.78575179274243e-11	1.24112734409681e-11	H2-Eb1/H2-Ab1/H2-Aa/Mreg/B2m/Pigr/Slc9a3/Ldlr/Baiap3/Erbb2/Sppl2a/Slc39a4/Uevld/H2-DMb1/Slc15a4/Cmtm6/Ehd4/Rep15/Atp10b/Sort1/Atg9a/Rhob/Rab11b/Rab15/Lamp2/Myo5b/Atp13a3/Slc30a4/Snx5/Epha4/Rab27b/Tmem184a/Atp7a/Lamp1/H2-DMa/Ffar4/Tpcn1/Ankfy1/Tom1/Slc11a2/Chmp5/Scamp1/Slc29a3/Zdhhc1/Rnf167/Atp13a2/Tmem175/Pxk/Wdr81/Chmp2b/Arhgap1/Wipi1/Rab11fip3/Rap2a/Ctsd/H2-D1/Abcb6/Rnf13/Igf2r/Chmp4c/Marchf8/Slc1a1/Snx12/Cyb561a3	64
GO:0005770	late endosome	56/2091	255/28573	7.91322803283203e-14	1.78575179274243e-11	1.24112734409681e-11	Cd74/H2-Eb1/H2-Ab1/H2-Aa/Mreg/B2m/Ldlr/Baiap3/Sppl2a/H2-DMb1/Nbr1/Psap/Atp10b/Zfyve26/Atg9a/Pcsk9/Rhob/Ttpa/Fyco1/Dync1li2/Lamp2/Atp13a3/Slc30a4/Slc17a8/Src/Rab27b/Atp7a/Cd79a/Lamp1/H2-DMa/Rnf128/Hspa8/Kidins220/Parm1/Slc11a2/Chmp5/Slc29a3/Atp13a2/Pxk/Ctsl/Wdr81/Vopp1/Mon1b/Chmp2b/Ctss/Rab9/Rnf149/Abcb6/Rnf13/Igf2r/Rapgef2/Chmp4c/Marchf8/Pik3c3/Ctns/Cyb561a3	56
GO:0030684	preribosome	33/2091	112/28573	2.20082595702522e-12	3.72489793226518e-10	2.5888663231323e-10	Nop56/Nol10/Ppan/Rps19/Rsl1d1/Wdr43/Rps27/Rrp1b/Tbl3/Utp18/Rrp9/Noc2l/Utp4/Kri1/Ftsj3/Nop58/Mphosph10/Aatf/Pdcd11/Bysl/Rps15a/Rps8/Rps11/Heatr1/Rps7/Mrto4/Noc4l/Xrcc5/Nat10/Rps5/Ltv1/Wdr36/Nop14	33
GO:0005903	brush border	36/2091	149/28573	1.25736633771537e-10	1.70247402126662e-08	1.18324790096584e-08	Slc17a4/Dab1/Slc9a3/Abcg2/Car4/Pls1/Slc9a2/Slc34a2/Itln1/Hsp90aa1/Slc27a4/Atp8b1/Slc28a3/Slc5a6/Pdzk1/Prom1/Myo5b/Snx5/Atp7a/Slc2a2/Slc23a1/Diaph1/Aqp1/Slc26a3/Vil1/Slc5a8/Slc11a2/Slc38a2/Npc1l1/Ddr1/Mttp/Espn/Slc3a1/Flii/Gna13/Anks4b	36
GO:0045121	membrane raft	55/2091	301/28573	2.60283028172328e-10	2.75053674682001e-08	1.91166901318284e-08	Cd177/Itgam/Cd14/Abcg2/Ldlr/Adtrp/Lrp6/Erlin2/Slc2a1/Mall/Lyn/Insr/Cd24a/Itln1/App/Cblc/Hck/Cacna1h/Cdh1/Vdr/Cbl/Efnb1/Npc1/Ctnnb1/Psen1/Lamp2/Adcy8/Src/Adam17/Cd79a/Ctnnd1/Arid3a/Card11/Aqp1/Myadm/Cxadr/Cd44/Il6st/Tlr2/Flot2/Arc/Fas/Cblb/Ctsd/Slc1a2/Lrp8/Igf1r/H2-D1/Kcnma1/Tpp1/Plpp2/Tuba1c/Slc1a1/Trpc4/Tnfrsf10b	55
GO:0098857	membrane microdomain	55/2091	302/28573	2.95931909326473e-10	2.75053674682001e-08	1.91166901318284e-08	Cd177/Itgam/Cd14/Abcg2/Ldlr/Adtrp/Lrp6/Erlin2/Slc2a1/Mall/Lyn/Insr/Cd24a/Itln1/App/Cblc/Hck/Cacna1h/Cdh1/Vdr/Cbl/Efnb1/Npc1/Ctnnb1/Psen1/Lamp2/Adcy8/Src/Adam17/Cd79a/Ctnnd1/Arid3a/Card11/Aqp1/Myadm/Cxadr/Cd44/Il6st/Tlr2/Flot2/Arc/Fas/Cblb/Ctsd/Slc1a2/Lrp8/Igf1r/H2-D1/Kcnma1/Tpp1/Plpp2/Tuba1c/Slc1a1/Trpc4/Tnfrsf10b	55
GO:0032040	small-subunit processome	24/2091	75/28573	3.25026498885674e-10	2.75053674682001e-08	1.91166901318284e-08	Nop56/Nol10/Rps19/Wdr43/Rps27/Tbl3/Utp18/Rrp9/Utp4/Nop58/Mphosph10/Aatf/Pdcd11/Rps15a/Rps8/Rps11/Heatr1/Rps7/Noc4l/Xrcc5/Nat10/Rps5/Wdr36/Nop14	24
GO:0016324	apical plasma membrane	68/2091	427/28573	1.06730599172773e-09	8.02851284888524e-08	5.57995062341865e-08	Trpa1/Slc17a4/Erbb3/Cyba/Ceacam20/Slc9a3/Slc7a5/Abcg2/P2ry4/Dram2/Abcg8/Erbb2/Car4/Slc39a4/Muc13/Ceacam1/Dsg2/Slc2a5/Slc2a1/Nrg1/Cd9/Slc9a2/Slc34a2/Hsp90aa1/Atp8b1/Slc5a6/Slc2a13/Stk39/Slc39a8/Sytl4/Pdzk1/Ctnnb1/Psen1/Prom1/Tjp3/Adcy8/Rab27b/Adam17/Atp7a/Aspm/Slc26a2/Cblif/Slc2a2/Slc23a1/Slc44a4/Aqp1/Slc26a3/Muc4/Slc5a8/Prkab2/Eps15/Slc11a2/Abcg5/Cd44/Npc1l1/Slc7a1/Cyp4f14/Mgam/Fas/Akap7/Pdgfrb/Kcnma1/Muc1/Rapgef2/Prkaa1/Slc3a1/Slc1a1/Akr1a1	68
GO:0044391	ribosomal subunit	43/2091	215/28573	1.32913573098232e-09	8.99824889875028e-08	6.25393338683259e-08	Rpl36/mt-Rnr1/Mrpl12/mt-Rnr2/Rps25/Rps19/Rsl1d1/Rps27/Rpl38/Rpl24/Rpl28/Larp4/Mrpl54/Rpl35a/Rpl35/Rpl41/Rps15/Rpl26/Fau/Rpl11/Mrps28/Rpl34/Uba52/Rpl29/Rpsa/Mrps26/Rpl23/Mrps6/Rpl18/Rps15a/Rps8/Rpl8/Rps11/Rps7/Rpl9/Rps26/Rps20/Rpl39/Rpl21/Rps5/Rpl17/Rpl13a/Rpl6	43
GO:0005774	vacuolar membrane	51/2091	283/28573	1.88763312960504e-09	1.16175238976601e-07	8.07437329122922e-08	H2-Eb1/H2-Ab1/H2-Aa/B2m/Deptor/Sppl2a/H2-DMb1/Rnf152/Slc15a4/Vmp1/Atp10b/Rb1cc1/Slc39a8/Npc1/Psen1/Lamp2/Slc17a5/Lamp1/H2-DMa/Ffar4/Hspa8/Tpcn1/Atp6v0a2/Slc66a1/Scarb2/Slc49a4/Gabarapl1/Slc11a2/Chmp5/Slc29a3/Rnf167/Atp13a2/Tmem175/Gpr155/Irgm2/Wdr81/Tsc1/Chmp2b/Wipi1/Ctsd/Slc37a3/H2-D1/Abcb6/Rnf13/Ncstn/Slc3a1/Chmp4c/Jmy/P2rx4/Ctns/Cyb561a3	51
