ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0022804	active transmembrane transporter activity	73/2063	435/28407	1.55441869490134e-11	1.81245219825497e-08	1.24517118612623e-08	Abcc3/Slc17a4/Slc9a3/ND4/Slc7a5/Abcg2/Slc44a1/Abcg8/Slc39a4/COX2/COX1/CYTB/Slc15a4/Slc9a2/Slc1a3/Slc34a2/Slc12a6/Slc35e2/Slc18b1/Slc10a5/Slc25a1/Atp6v0e2/ND1/Tap1/Mfsd2a/Slc28a3/Slc1a5/Slc5a6/Slc2a13/Slc39a8/ND3/Atp13a3/ND2/Slc30a4/Slc17a8/Slc37a2/Atp7a/Atp2c1/Slc26a2/Slc26a10/Slc17a5/Slc23a1/Slc44a4/Slc26a3/Tap2/Ndufb7/Atp6v0a2/ND4L/Slc25a10/Slc25a23/Slc18a2/Slc5a8/Slc20a1/Slc11a2/Abcg5/Slc29a3/Atp13a2/Slc38a2/Abcd3/Slc37a1/Slc1a2/Slc6a7/Slc38a4/Abcb6/Slc16a13/Atp5f1e/Slc18a1/Slc12a8/Slc6a1/Abcb7/Slc1a1/Ctns/Cyb561a3	73
GO:0003735	structural constituent of ribosome	40/2063	178/28407	1.0389387595916e-10	6.05701296841903e-08	4.16122313710109e-08	Rpl36/mt-Rnr1/Mrpl12/mt-Rnr2/Rps25/Rps19/Rps27/Rpl38/Rpl24/Rpl28/Mrpl54/Rpl35a/Rpl35/Rpl41/Rps15/Rpl26/Fau/Rpl11/Rpl34/Uba52/Rpl29/Rpsa/Rpl23/Mrps6/Rpl18/Rps15a/Rps8/Rpl8/Rps11/Rps7/Rpl9/Rpl22l1/Rps26/Rps20/Rpl39/Rpl21/Rps5/Rpl17/Rpl13a/Rpl6	40
GO:0046943	carboxylic acid transmembrane transporter activity	36/2063	174/28407	9.20521378623669e-09	2.51577478485024e-06	1.72836021600707e-06	Abcc3/Slc7a5/Abcg2/Ceacam1/Slc15a4/Slc1a3/Slc10a5/Slc25a1/Mfsd2a/Slc1a5/Slc5a6/Slc16a9/Slc7a2/Slc17a8/Slc26a2/Slc26a10/Slc17a5/Slc27a2/Slc23a1/Slc26a3/Mpc2/Slc66a1/Slc25a10/Slc5a8/Slc38a2/Slc7a1/Slc38a11/Slc1a2/Slc6a7/Slc25a44/Slc38a4/Slc16a13/Slc43a2/Slc6a1/Slc1a1/Ctns	36
GO:0052689	carboxylic ester hydrolase activity	35/2063	167/28407	1.03759330329734e-08	2.51577478485024e-06	1.72836021600707e-06	Acot1/Pnliprp2/Gdpd1/Abhd4/Enpp2/Pnpla2/Pla2g2f/Ces2g/Etf1/Siae/Pon2/Ces2a/Pgap6/Pnpla6/Aars1/Aspg/Car1/Vars2/Pla2g5/Ces2c/Ces2e/Liph/Pla2g7/Lars2/Abhd3/Lipa/Aldh2/Ces1e/Acot4/Aarsd1/Pla2g4c/Pla2g12b/Dtd1/Faah/Pla2g2d	35
GO:0005342	organic acid transmembrane transporter activity	36/2063	175/28407	1.07880565388089e-08	2.51577478485024e-06	1.72836021600707e-06	Abcc3/Slc7a5/Abcg2/Ceacam1/Slc15a4/Slc1a3/Slc10a5/Slc25a1/Mfsd2a/Slc1a5/Slc5a6/Slc16a9/Slc7a2/Slc17a8/Slc26a2/Slc26a10/Slc17a5/Slc27a2/Slc23a1/Slc26a3/Mpc2/Slc66a1/Slc25a10/Slc5a8/Slc38a2/Slc7a1/Slc38a11/Slc1a2/Slc6a7/Slc25a44/Slc38a4/Slc16a13/Slc43a2/Slc6a1/Slc1a1/Ctns	36
GO:0008514	organic anion transmembrane transporter activity	45/2063	250/28407	1.36517497188405e-08	2.65299002869467e-06	1.82262833965572e-06	Abcc3/Slc7a5/Abcg2/Slc39a4/Ceacam1/Slc2a1/Slc15a4/Slc1a3/Slc10a5/Slc25a1/Mfsd2a/Slc1a5/Slc5a6/Slc16a9/Slc39a8/Slc7a2/Slc17a8/Slc37a2/Slc26a2/Slc26a10/Slc17a5/Slc27a2/Slc2a2/Slc23a1/Slc44a4/Slc26a3/Mpc2/Slc66a1/Slc25a10/Slc25a23/Slc5a8/Slc52a3/Slc38a2/Slc7a1/Slc38a11/Slc1a2/Slc6a7/Slc25a44/Slc38a4/Slc16a13/Slc43a2/Slc6a1/Slc35b4/Slc1a1/Ctns	45
GO:0016651	oxidoreductase activity, acting on NAD(P)H	21/2063	71/28407	1.73862652539215e-08	2.89605504086749e-06	1.98961621928335e-06	Cyba/Akr1c19/Nox1/ND4/Mical1/Akr1c13/Akr1c14/Ambp/Adh4/Akr1c12/Por/ND1/ND3/ND2/Ndufb7/ND4L/Nqo2/Duox2/Fmo5/Akr1a1/Cyb5r3	21
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	32/2063	158/28407	1.01358278274424e-07	1.30084113889142e-05	8.93689723477812e-06	Akr1c19/Hsd17b11/Hsd17b6/Akr1c13/Akr1c14/Hsd17b2/Uevld/Fasn/Adh6a/Kcnab3/Adh4/Hmgcr/Akr1c12/D2hgdh/Aldh3a2/Hadha/Chdh/Me1/Impdh1/Gpd1l/Ehhadh/Hsd17b7/Rdh16/Dhrs11/Rdh7/Dhrs3/Hsd17b13/Sdr42e1/G6pdx/Grhpr/Akr1a1/Hsd3b3	32
GO:0044389	ubiquitin-like protein ligase binding	55/2063	358/28407	1.0855882215674e-07	1.30084113889142e-05	8.93689723477812e-06	Per3/H2-Ab1/Usp2/Arrb1/Erbb3/Prr7/Per1/Ikbke/Erbb2/Erlin2/Bag2/Egr2/Dtx3l/Ckb/Lyn/Clu/Fhit/Fzd5/Hsp90aa1/Ccdc50/Mc1r/Bcl2/Syk/Acvr1b/Hspa5/Kdm4a/Ctnnb1/Rhobtb3/Fau/Tmbim6/Hif1a/Ppargc1a/Rpl11/Cul9/Uba52/Ubc/Hspa8/Caml/Gabarapl1/Rpl23/Jkamp/Pink1/Parp9/Rigi/Dnaja1/Smad3/Itch/Cebpb/Xrcc5/Trib3/Ccnb1/Myc/Nfkbia/Parp1/Sh3kbp1	55
GO:0015294	solute:monoatomic cation symporter activity	26/2063	113/28407	1.11564420145062e-07	1.30084113889142e-05	8.93689723477812e-06	Slc39a4/Slc15a4/Slc1a3/Slc34a2/Slc12a6/Slc10a5/Mfsd2a/Slc28a3/Slc5a6/Slc2a13/Slc39a8/Slc17a8/Slc23a1/Slc18a2/Slc5a8/Slc20a1/Slc11a2/Slc38a2/Slc1a2/Slc6a7/Slc38a4/Slc18a1/Slc12a8/Slc6a1/Slc1a1/Ctns	26
