ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050900	leukocyte migration	40/351	398/28891	8.73264706269969e-25	3.47908658977956e-21	2.19878860778712e-21	Pgf/Ccl22/Ccl17/Cx3cl1/Tlr2/Vegfa/Il1b/Slamf8/Ccl5/Thbs1/Csf3r/Dapk2/App/Ptafr/Xcl1/Gpr35/Pla2g7/Lgals3/Fcgr3/Csf1r/Ccl9/Itga7/Cd300a/Cmklr1/Vcam1/Itga9/Tnfsf18/Spi1/Eps8/Ccl21a/Sirpa/Mmp14/Rabgef1/Slamf9/C3ar1/Cxcr3/Cadm1/Cd9/Csf1/Cxcl16	40
GO:0006935	chemotaxis	42/351	462/28891	2.86265680496761e-24	4.50017821350137e-21	2.84412024061913e-21	Pgf/Nrg1/Ccl22/Ccl17/Cx3cl1/Vegfa/Il1b/Ear2/Slamf8/Ccl5/Dscam/Thbs1/Ccrl2/Csf3r/Dapk2/App/Ptafr/Ccr5/Xcl1/Gpr35/Nrp2/Pla2g7/Lgals3/Fcgr3/Csf1r/Ccl9/Cmklr1/Vcam1/Hgf/Itga9/Tnfsf18/Spi1/Sema6d/Stx3/Ccl21a/Agr2/Slamf9/C3ar1/Slit3/Cxcr3/Csf1/Cxcl16	42
GO:0042330	taxis	42/351	464/28891	3.38868841378115e-24	4.50017821350137e-21	2.84412024061913e-21	Pgf/Nrg1/Ccl22/Ccl17/Cx3cl1/Vegfa/Il1b/Ear2/Slamf8/Ccl5/Dscam/Thbs1/Ccrl2/Csf3r/Dapk2/App/Ptafr/Ccr5/Xcl1/Gpr35/Nrp2/Pla2g7/Lgals3/Fcgr3/Csf1r/Ccl9/Cmklr1/Vcam1/Hgf/Itga9/Tnfsf18/Spi1/Sema6d/Stx3/Ccl21a/Agr2/Slamf9/C3ar1/Slit3/Cxcr3/Csf1/Cxcl16	42
GO:0097529	myeloid leukocyte migration	32/351	253/28891	4.30041332239815e-23	4.28321166910855e-20	2.70699701767799e-20	Pgf/Ccl22/Ccl17/Cx3cl1/Tlr2/Vegfa/Il1b/Slamf8/Ccl5/Thbs1/Csf3r/Dapk2/App/Xcl1/Gpr35/Pla2g7/Lgals3/Fcgr3/Csf1r/Ccl9/Cd300a/Cmklr1/Itga9/Tnfsf18/Spi1/Ccl21a/Sirpa/Mmp14/Rabgef1/C3ar1/Cd9/Csf1	32
GO:0060326	cell chemotaxis	34/351	331/28891	1.6538729187506e-21	1.31780594166048e-18	8.32855583505564e-19	Pgf/Ccl22/Ccl17/Cx3cl1/Vegfa/Il1b/Slamf8/Ccl5/Thbs1/Ccrl2/Csf3r/Dapk2/App/Ccr5/Xcl1/Gpr35/Pla2g7/Lgals3/Fcgr3/Csf1r/Ccl9/Cmklr1/Vcam1/Hgf/Itga9/Tnfsf18/Spi1/Ccl21a/Agr2/Slamf9/C3ar1/Cxcr3/Csf1/Cxcl16	34
GO:0030595	leukocyte chemotaxis	29/351	240/28891	1.81771873141161e-20	1.20696523765731e-17	7.62804071146766e-18	Pgf/Ccl22/Ccl17/Cx3cl1/Vegfa/Il1b/Slamf8/Ccl5/Thbs1/Csf3r/Dapk2/App/Xcl1/Gpr35/Pla2g7/Lgals3/Fcgr3/Csf1r/Ccl9/Cmklr1/Itga9/Tnfsf18/Spi1/Ccl21a/Slamf9/C3ar1/Cxcr3/Csf1/Cxcl16	29
GO:0002697	regulation of immune effector process	38/351	473/28891	3.66991311507526e-20	2.08870483577998e-17	1.3200649881594e-17	Clec7a/Tlr2/Klrd1/Il1b/Cd160/Slamf8/H2-M2/Il12b/Axl/Cd80/Fcgr1/Pvr/Gimap3/C3/Cd86/Klrb1a/Klrb1/Ptafr/Xcl1/Gab2/Hmox1/Lgals3/Fcgr3/C6/Cd300a/Acp5/Cd96/Klrb1b/Malt1/Tnfsf18/Fcgr2b/Spi1/Havcr2/Ticam2/Rabgef1/Foxp3/Il7r/Cadm1	38
GO:0002703	regulation of leukocyte mediated immunity	31/351	314/28891	3.37538592658131e-19	1.68094219143749e-16	1.06235830741875e-16	Clec7a/Tlr2/Klrd1/Il1b/Cd160/H2-M2/Il12b/Cd80/Fcgr1/Pvr/Gimap3/C3/Klrb1a/Klrb1/Ptafr/Xcl1/Gab2/Hmox1/Fcgr3/Cd300a/Cd96/Klrb1b/Malt1/Fcgr2b/Spi1/Havcr2/Ticam2/Rabgef1/Foxp3/Il7r/Cadm1	31
GO:0097530	granulocyte migration	24/351	167/28891	6.34638711714197e-19	2.80933403052151e-16	1.77550385780159e-16	Ccl22/Ccl17/Cx3cl1/Tlr2/Vegfa/Il1b/Slamf8/Ccl5/Thbs1/Csf3r/Dapk2/Xcl1/Lgals3/Fcgr3/Csf1r/Ccl9/Cd300a/Cmklr1/Itga9/Tnfsf18/Ccl21a/Sirpa/C3ar1/Csf1	24
GO:0050867	positive regulation of cell activation	35/351	454/28891	4.43693060818103e-18	1.76767315429932e-15	1.11717242260727e-15	Clec7a/Cd300lb/Il1b/Cd160/H2-M2/Cd3e/Ccl5/Il12b/Thbs1/Axl/Cd80/Gimap3/Cd86/Lck/Plek/Ptafr/Xcl1/Gab2/Csf1r/Lilra5/Hsph1/Vcam1/Pdpn/Malt1/Zap70/Spi1/Havcr2/Ticam2/Sirpb1a/Ccl21a/Sirpa/Mmp14/Cd83/Foxp3/Il7r	35
