ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0062023	collagen-containing extracellular matrix	37/357	396/28573	1.78428653761631e-21	5.85245984338151e-19	4.45132536226386e-19	Plxdc2/Muc2/Vegfa/Tspan9/Tgm3/Thbs1/Emilin2/Mfge8/Tnxb/Col6a3/Cilp/Adamts1/Hmcn2/Emid1/Pcolce2/Lama2/Tgfbi/Scara3/Lgals3/Vcan/Col14a1/Lum/Fbn1/Ccdc80/Nid1/Timp3/Ntn4/Ctsb/Lama4/Sema6d/Mfap4/Col6a1/Hspg2/Col4a1/Dpt/Dmbt1/Adamts2	37
GO:0043235	receptor complex	26/357	417/28573	2.3651219330649e-11	3.87879997022644e-09	2.95017841124412e-09	Cd14/Tlr2/Csf2rb/Klrd1/Cd3g/Vdr/Cd3e/Csf2rb2/Axl/Cd3d/Cd8a/App/Itgax/Mertk/Csf1r/Itga7/Skap1/Csf2ra/Itga9/Zap70/Plxnd1/Ticam2/Eps8/Gabbr2/Cd247/Gfra2	26
GO:0005604	basement membrane	13/357	115/28573	2.25860290441929e-09	2.46940584216509e-07	1.87820662578025e-07	Vegfa/Adamts1/Hmcn2/Lama2/Tgfbi/Fbn1/Ccdc80/Nid1/Timp3/Ntn4/Lama4/Hspg2/Col4a1	13
GO:0098802	plasma membrane signaling receptor complex	16/357	198/28573	4.61509451759587e-09	3.78437750442861e-07	2.87836158071111e-07	Tlr2/Csf2rb/Cd3g/Cd3e/Csf2rb2/Cd3d/Itgax/Itga7/Skap1/Csf2ra/Itga9/Zap70/Ticam2/Eps8/Gabbr2/Cd247	16
GO:0005581	collagen trimer	10/357	81/28573	6.99357552585858e-08	4.58778554496323e-06	3.48942610448102e-06	Emilin2/Msr1/Col6a3/Emid1/Scara3/Col14a1/Lum/Col6a1/Col4a1/C1qb	10
GO:0042101	T cell receptor complex	6/357	22/28573	2.29886020475815e-07	1.25671024526779e-05	9.55841874609966e-06	Cd3g/Cd3e/Cd3d/Skap1/Zap70/Cd247	6
GO:0098636	protein complex involved in cell adhesion	8/357	57/28573	5.32331057583429e-07	2.49435124124807e-05	1.89717985935748e-05	Cd80/Lama2/Itgax/Itga7/Plaur/Itga9/Nid1/Plau	8
GO:0045121	membrane raft	16/357	301/28573	1.46132633614646e-06	5.56072791442506e-05	4.22943682836566e-05	Cd14/Ptgs2/Tlr2/Vdr/Cd8a/Lck/App/Src/Hmox1/Skap1/Abca1/Pdpn/Zap70/Ctsb/Plpp3/Fasl	16
GO:0098857	membrane microdomain	16/357	302/28573	1.52580948871419e-06	5.56072791442506e-05	4.22943682836566e-05	Cd14/Ptgs2/Tlr2/Vdr/Cd8a/Lck/App/Src/Hmox1/Skap1/Abca1/Pdpn/Zap70/Ctsb/Plpp3/Fasl	16
GO:0001772	immunological synapse	7/357	50/28573	2.821186669978e-06	9.25349227752784e-05	7.03811832405038e-05	Cd3e/Lck/Lgals3/Skap1/Zap70/Havcr2/Lat	7
