ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005201	extracellular matrix structural constituent	24/345	145/28407	2.01679215483704e-20	1.10721889300553e-17	8.40683887700491e-18	Muc2/Thbs1/Emilin2/Mfge8/Tnxb/Col6a3/Hmcn2/Emid1/Pcolce2/Lama2/Tgfbi/Scara3/Vcan/Col14a1/Lum/Fbn1/Nid1/Lama4/Mfap4/Col6a1/Hspg2/Col4a1/Dpt/Dmbt1	24
GO:0140375	immune receptor activity	21/345	138/28407	3.03104049775121e-17	8.32020616632707e-15	6.31732651110252e-15	Csf2rb/Klrd1/Cd160/Csf2rb2/Il12b/Fcgr1/Ccrl2/Csf3r/Il1r2/Ccr5/Gpr35/Fcgr3/Lilra5/Csf2ra/Cmklr1/Fcgr2b/Fcgr4/C3ar1/Gfra2/Il7r/Cxcr3	21
GO:0005518	collagen binding	13/345	70/28407	2.54239424005729e-12	4.65258145930484e-10	3.53258989144802e-10	Mmp12/Thbs1/Tnxb/Pcolce2/Tgfbi/Mmp13/Lum/Itga9/Nid1/Ctsb/Col6a1/Hspg2/Aebp1	13
GO:0005125	cytokine activity	20/345	236/28407	1.34954350799737e-11	1.85224846472639e-09	1.40636639254462e-09	Ccl22/Il1rn/Ccl17/Cx3cl1/Vegfa/Il1b/Ccl5/Il12b/Osm/Tnfsf10/Nampt/Xcl1/Ccl9/Gdf15/Tnfsf18/Ccl21a/Inhba/Fasl/Csf1/Cxcl16	20
GO:0050839	cell adhesion molecule binding	22/345	306/28407	3.23983672735183e-11	3.55734072663231e-09	2.70100072427647e-09	Nrg1/Cx3cl1/Il1b/Dscam/Thbs1/Mfge8/Ndrg1/Pvr/App/Itgax/Tgfbi/Src/Itga7/Vcam1/Fbn1/Itga9/Sirpa/Mmp14/Plpp3/Shtn1/Cadm1/Cd9	22
GO:0005126	cytokine receptor binding	22/345	323/28407	9.20793046849054e-11	8.42525637866884e-09	6.39708853600395e-09	Pgf/Ccl22/Il1rn/Ccl17/Cx3cl1/Vegfa/Il1b/Ccl5/Il12b/Osm/Ccrl2/Tnfsf10/Xcl1/Ccl9/Tnfsf18/Ticam2/Ccl21a/Fem1b/Spred1/Fasl/Csf1/Cxcl16	22
GO:0030246	carbohydrate binding	20/345	283/28407	3.50583467389428e-10	2.7495760513828e-08	2.08768500881524e-08	Clec7a/Mgl2/Clec4n/Klrd1/Reg4/Hk2/Adgrl3/Klrb1a/Klrb1/Klra7/Lgals3/Vcan/Clec1b/Clec4a1/Klrb1b/Klra6/Clec4a3/Cd207/Klra5/Clec4a2	20
GO:0005178	integrin binding	15/345	153/28407	6.65754601662379e-10	4.56874095390807e-08	3.46893187181976e-08	Nrg1/Cx3cl1/Il1b/Thbs1/Mfge8/App/Itgax/Src/Itga7/Vcam1/Fbn1/Itga9/Mmp14/Plpp3/Cd9	15
GO:0004896	cytokine receptor activity	12/345	96/28407	2.13244356085014e-09	1.30079057211859e-07	9.87658070288488e-08	Csf2rb/Csf2rb2/Il12b/Ccrl2/Csf3r/Il1r2/Ccr5/Gpr35/Csf2ra/Gfra2/Il7r/Cxcr3	12
GO:0005539	glycosaminoglycan binding	17/345	243/28407	8.74770413366837e-09	4.80248956938393e-07	3.64641140729755e-07	Pla2g2d/Tlr2/Vegfa/Ccl5/Reg4/Thbs1/Tnxb/Adamts1/Tpsb2/Pcolce2/App/Nrp2/Vcan/Fbn1/Ccdc80/Slit3/Dmbt1	17
GO:1901681	sulfur compound binding	18/345	301/28407	3.62889667988087e-08	1.81114934295873e-06	1.37516084711275e-06	Pla2g2d/Muc2/Vegfa/Ccl5/Reg4/Thbs1/Tnxb/Adamts1/Tpsb2/Pcolce2/App/Nrp2/Acp5/Fbn1/Ccdc80/Soat2/Slit3/Dmbt1	18
GO:0042056	chemoattractant activity	8/345	43/28407	4.37086707219542e-08	1.91761628185032e-06	1.45599855740145e-06	Pgf/Cx3cl1/Vegfa/Ccl5/App/Lgals3/Ccl9/Hgf	8
GO:0008201	heparin binding	14/345	179/28407	4.54080358179494e-08	1.91761628185032e-06	1.45599855740145e-06	Pla2g2d/Vegfa/Ccl5/Reg4/Thbs1/Tnxb/Adamts1/Tpsb2/Pcolce2/App/Nrp2/Fbn1/Ccdc80/Slit3	14
GO:0008009	chemokine activity	8/345	47/28407	9.08628820765044e-08	3.56312301857149e-06	2.70539107536058e-06	Ccl22/Ccl17/Cx3cl1/Ccl5/Xcl1/Ccl9/Ccl21a/Cxcl16	8
GO:0004175	endopeptidase activity	20/345	436/28407	4.7406619001814e-07	1.73508225546639e-05	1.3174049912083e-05	Mmp12/F10/Mmp19/Ctsw/Adamdec1/Cfb/Ece1/Adamts1/Tpsb2/Htra3/Mmp13/Adam23/Hgf/Malt1/Cma1/Ctsb/Gzma/Mmp14/Plau/Adamts2	20
