category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signaling molecules and interaction	mmu04060	Cytokine-cytokine receptor interaction - Mus musculus (house mouse)	27/201	294/9711	6.00165344810055e-11	1.52441997581754e-08	1.19401315967474e-08	Ccl22/Il1rn/Ccl17/Cx3cl1/Csf2rb/Il1b/Csf2rb2/Ccl5/Il12b/Osm/Csf3r/Il1r2/Tnfsf10/Ccr5/Xcl1/Csf1r/Ccl9/Csf2ra/Gdf15/Tnfsf18/Ccl21a/Inhba/Fasl/Il7r/Cxcr3/Csf1/Cxcl16	27
Organismal Systems	Immune system	mmu04640	Hematopoietic cell lineage - Mus musculus (house mouse)	15/201	94/9711	7.18182717062756e-10	9.12092050669701e-08	7.14402808025584e-08	Cd14/Il1b/Cd3g/Cd7/Cd3e/Cd3d/Fcgr1/Cd8a/Csf3r/Il1r2/Csf1r/Csf2ra/Il7r/Cd9/Csf1	15
Environmental Information Processing	Signaling molecules and interaction	mmu04061	Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)	12/201	95/9711	5.40364896187158e-07	4.5750894543846e-05	3.58347246945168e-05	Ccl22/Ccl17/Cx3cl1/Ccl5/Tnfsf10/Ccr5/Xcl1/Csf1r/Ccl9/Ccl21a/Cxcr3/Csf1	12
Organismal Systems	Development and regeneration	mmu04380	Osteoclast differentiation - Mus musculus (house mouse)	14/201	136/9711	7.79226161048535e-07	4.9480861226582e-05	3.87562485363613e-05	Il1b/Fcgr1/Lck/Gab2/Fcgr3/Csf1r/Lilra5/Acp5/Fcgr2b/Spi1/Sirpb1a/Fcgr4/Sirpa/Csf1	14
Cellular Processes	Transport and catabolism	mmu04148	Efferocytosis - Mus musculus (house mouse)	15/201	161/9711	1.12924545364177e-06	5.73656690450018e-05	4.49320822606935e-05	Ptgs2/Cx3cl1/Thbs1/Mfge8/Axl/Pla2g15/Mertk/Rab7b/Abca1/Sgk1/Havcr2/Lipa/Sirpb1a/Sirpa/C1qb	15
Environmental Information Processing	Signal transduction	mmu04151	PI3K-Akt signaling pathway - Mus musculus (house mouse)	23/201	367/9711	1.97796498965149e-06	8.37338512285797e-05	6.55851549200231e-05	Pgf/Tlr2/Vegfa/Thbs1/Tnxb/Osm/Col6a3/Csf3r/Lama2/Csf1r/Pik3r5/Itga7/Creb5/Hgf/Sgk1/Itga9/Pdgfc/Lama4/Col6a1/Col4a1/Fasl/Il7r/Csf1	23
Human Diseases	Infectious disease: parasitic	mmu05142	Chagas disease - Mus musculus (house mouse)	11/201	103/9711	8.59292243431621e-06	0.000311800328330903	0.000244219900764777	Tlr2/Il1b/Cd3g/Cd3e/Ccl5/Il12b/Cd3d/C3/Cd247/C1qb/Fasl	11
Environmental Information Processing	Signal transduction	mmu04064	NF-kappa B signaling pathway - Mus musculus (house mouse)	11/201	106/9711	1.13459682138705e-05	0.000360234490790388	0.000282156314792305	Cd14/Ptgs2/Il1b/Lck/Vcam1/Malt1/Zap70/Ticam2/Ccl21a/Lat/Plau	11
Environmental Information Processing	Signaling molecules and interaction	mmu04512	ECM-receptor interaction - Mus musculus (house mouse)	10/201	89/9711	1.41537552248943e-05	0.000399450425235906	0.000312872483918717	Thbs1/Tnxb/Col6a3/Lama2/Itga7/Itga9/Lama4/Col6a1/Hspg2/Col4a1	10
Human Diseases	Infectious disease: parasitic	mmu05144	Malaria - Mus musculus (house mouse)	8/201	57/9711	2.02895484243884e-05	0.000487329472968703	0.000381704394492685	Tlr2/Il1b/Thbs1/Klrb1a/Klrb1/Vcam1/Hgf/Klrb1b	8
Human Diseases	Infectious disease: bacterial	mmu05152	Tuberculosis - Mus musculus (house mouse)	14/201	180/9711	2.1104819695495e-05	0.000487329472968703	0.000381704394492685	Clec7a/Cd14/Tlr2/Il1b/Vdr/Il12b/Fcgr1/C3/Itgax/Src/Fcgr3/Malt1/Fcgr2b/Fcgr4	14
Human Diseases	Immune disease	mmu05323	Rheumatoid arthritis - Mus musculus (house mouse)	9/201	87/9711	7.41054804556529e-05	0.00126500677715788	0.000990825863584086	Tlr2/Vegfa/Il1b/Ccl5/Cd80/Cd86/Acp5/Atp6v1a/Csf1	9
Cellular Processes	Cellular community - eukaryotes	mmu04510	Focal adhesion - Mus musculus (house mouse)	14/201	202/9711	7.53756513019283e-05	0.00126500677715788	0.000990825863584086	Pgf/Vegfa/Thbs1/Tnxb/Col6a3/Lama2/Src/Itga7/Hgf/Itga9/Pdgfc/Lama4/Col6a1/Col4a1	14
Human Diseases	Infectious disease: parasitic	mmu05146	Amoebiasis - Mus musculus (house mouse)	10/201	108/9711	7.6658693486417e-05	0.00126500677715788	0.000990825863584086	Cd14/Muc2/Tlr2/Il1b/Il12b/Il1r2/Lama2/Rab7b/Lama4/Col4a1	10
Organismal Systems	Immune system	mmu04658	Th1 and Th2 cell differentiation - Mus musculus (house mouse)	9/201	88/9711	8.10906713315464e-05	0.00126500677715788	0.000990825863584086	Cd3g/Cd3e/Il12b/Cd3d/Lck/Zap70/Cd247/Lat/Maf	9
Human Diseases	Cancer: overview	mmu05235	PD-L1 expression and PD-1 checkpoint pathway in cancer - Mus musculus (house mouse)	9/201	88/9711	8.10906713315464e-05	0.00126500677715788	0.000990825863584086	Tlr2/Cd3g/Cd3e/Cd3d/Lck/Zap70/Ticam2/Cd247/Lat	9
Human Diseases	Immune disease	mmu05340	Primary immunodeficiency - Mus musculus (house mouse)	6/201	36/9711	8.46658079200158e-05	0.00126500677715788	0.000990825863584086	Cd3e/Cd3d/Cd8a/Lck/Zap70/Il7r	6
Human Diseases	Infectious disease: parasitic	mmu05140	Leishmaniasis - Mus musculus (house mouse)	8/201	70/9711	9.21058497281239e-05	0.00129971587949686	0.00101801202331084	Ptgs2/Tlr2/Il1b/Il12b/Fcgr1/C3/Fcgr3/Fcgr4	8
Organismal Systems	Immune system	mmu04625	C-type lectin receptor signaling pathway - Mus musculus (house mouse)	10/201	112/9711	0.000104291444154004	0.00135128466295267	0.00105840365229198	Clec7a/Ccl22/Ccl17/Ptgs2/Clec4n/Il1b/Il12b/Src/Clec1b/Malt1	10
Cellular Processes	Transport and catabolism	mmu04145	Phagosome - Mus musculus (house mouse)	13/201	183/9711	0.000106400367161628	0.00135128466295267	0.00105840365229198	Clec7a/Cd14/Tlr2/H2-M2/Thbs1/Fcgr1/Msr1/C3/Fcgr3/Rab7b/Fcgr2b/Fcgr4/Atp6v1a	13
Organismal Systems	Immune system	mmu04610	Complement and coagulation cascades - Mus musculus (house mouse)	9/201	94/9711	0.00013567244945757	0.00164099057915346	0.00128531794222961	F10/Cfb/C3/Itgax/C6/Plaur/C3ar1/C1qb/Plau	9
Organismal Systems	Immune system	mmu04062	Chemokine signaling pathway - Mus musculus (house mouse)	13/201	193/9711	0.00018146184757511	0.00209505951291264	0.00164097077472229	Ccl22/Ccl17/Cx3cl1/Ccl5/Src/Ccr5/Xcl1/Ccl9/Pik3r5/Grk3/Ccl21a/Cxcr3/Cxcl16	13
Human Diseases	Cancer: overview	mmu05205	Proteoglycans in cancer - Mus musculus (house mouse)	13/201	204/9711	0.000312772564795585	0.00333596422859385	0.00261291852136029	Tlr2/Vegfa/Il12b/Thbs1/Cd63/Src/Plaur/Hgf/Lum/Timp3/Hspg2/Fasl/Plau	13
Organismal Systems	Immune system	mmu04659	Th17 cell differentiation - Mus musculus (house mouse)	9/201	105/9711	0.000315209218449812	0.00333596422859385	0.00261291852136029	Il1b/Cd3g/Cd3e/Cd3d/Lck/Zap70/Cd247/Lat/Foxp3	9
Environmental Information Processing	Signal transduction	mmu04014	Ras signaling pathway - Mus musculus (house mouse)	14/201	236/9711	0.000384445911390671	0.00390597045972922	0.00305938009485629	Pgf/Pla2g2d/Vegfa/Ets2/Gab2/Csf1r/Hgf/Rel/Pdgfc/Zap70/Rgl1/Lat/Fasl/Csf1	14
Organismal Systems	Immune system	mmu04650	Natural killer cell mediated cytotoxicity - Mus musculus (house mouse)	9/201	122/9711	0.000946271219094508	0.00890195887592611	0.00697252477227533	Klrd1/Lck/Tnfsf10/Klra7/Zap70/Fcgr4/Cd247/Lat/Fasl	9
Organismal Systems	Immune system	mmu04660	T cell receptor signaling pathway - Mus musculus (house mouse)	9/201	122/9711	0.000946271219094508	0.00890195887592611	0.00697252477227533	Cd3g/Cd3e/Cd3d/Cd8a/Lck/Malt1/Zap70/Cd247/Lat	9
Human Diseases	Infectious disease: parasitic	mmu05143	African trypanosomiasis - Mus musculus (house mouse)	5/201	39/9711	0.00117418635746369	0.0106515476712778	0.00834290306618939	Il1b/Il12b/Vcam1/Lama4/Fasl	5
Human Diseases	Infectious disease: bacterial	mmu05150	Staphylococcus aureus infection - Mus musculus (house mouse)	9/201	128/9711	0.00132992022709467	0.0116482668166223	0.00912359066863492	Cfb/Fcgr1/C3/Ptafr/Fcgr3/Fcgr2b/Fcgr4/C3ar1/C1qb	9
Organismal Systems	Immune system	mmu04620	Toll-like receptor signaling pathway - Mus musculus (house mouse)	8/201	104/9711	0.00138110738368447	0.0116933758485285	0.00915892264969701	Cd14/Tlr2/Il1b/Ccl5/Il12b/Cd80/Cd86/Ticam2	8
Human Diseases	Immune disease	mmu05332	Graft-versus-host disease - Mus musculus (house mouse)	6/201	60/9711	0.00144186461782756	0.0118139875138129	0.00925339262374901	Klrd1/Il1b/H2-M2/Cd80/Cd86/Fasl	6
Human Diseases	Cardiovascular disease	mmu05417	Lipid and atherosclerosis - Mus musculus (house mouse)	12/201	217/9711	0.00182586224264377	0.0144927815509849	0.0113515777585419	Cd14/Tlr2/Il1b/Ccl5/Il12b/Tnfsf10/Src/Nfe2l2/Abca1/Vcam1/Ticam2/Fasl	12
Cellular Processes	Transport and catabolism	mmu04142	Lysosome - Mus musculus (house mouse)	9/201	135/9711	0.00192662604468266	0.014829182283315	0.0116150661066993	Ctsw/Slc11a1/Cd63/Pla2g15/Slc11a2/Asah1/Acp5/Ctsb/Lipa	9
