ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0002764	immune response-regulating signaling pathway	75/1310	450/28891	1.06333618288912e-22	5.96425264982508e-19	3.92315086423829e-19	Prkch/Txk/Tlr8/Klrd1/Reg3g/Cd3e/Cd8a/Skap1/Cd160/Zap70/Ptpn22/C5ar1/Cd81/Cmklr1/Lck/Nr1d1/Appl2/Ifng/App/Kcnn4/Itk/C3ar1/Sla2/Fyn/Tcrb/Lgr4/Gcsam/Inava/Atat1/Nlrc3/Gata3/Pde4d/Oas1g/Nr1h4/Kit/Trim31/Thy1/Nlrp6/Ada/Klri1/Plcg1/Plscr1/Unc93b1/Lat/Aim2/Btnl6/Ctla4/Rnf125/Tnfaip3/Irgm1/Cd226/Fpr2/Zc3hav1/Tlr9/Vav3/Pde4b/Lax1/Tlr7/Pigr/Ddx3x/Tlr13/Zc3h12a/Nr4a3/Cblb/C5ar2/Scimp/Mapkapk3/Pycard/Sh2b2/Fosl2/Cptp/Cd300lf/Klri2/Klrc1/Rab7b	75
GO:0002757	immune response-activating signaling pathway	73/1310	440/28891	5.25986431936848e-22	1.47512894836689e-18	9.70306549441395e-19	Prkch/Txk/Tlr8/Klrd1/Reg3g/Cd3e/Cd8a/Skap1/Cd160/Zap70/Ptpn22/C5ar1/Cd81/Cmklr1/Lck/Nr1d1/Appl2/Ifng/App/Kcnn4/Itk/C3ar1/Sla2/Fyn/Tcrb/Lgr4/Gcsam/Inava/Atat1/Nlrc3/Gata3/Pde4d/Oas1g/Nr1h4/Trim31/Thy1/Nlrp6/Ada/Klri1/Plcg1/Plscr1/Unc93b1/Lat/Aim2/Btnl6/Ctla4/Rnf125/Tnfaip3/Irgm1/Cd226/Fpr2/Zc3hav1/Tlr9/Vav3/Pde4b/Lax1/Tlr7/Ddx3x/Tlr13/Zc3h12a/Nr4a3/Cblb/C5ar2/Scimp/Mapkapk3/Pycard/Sh2b2/Fosl2/Cptp/Cd300lf/Klri2/Klrc1/Rab7b	73
GO:0002440	production of molecular mediator of immune response	65/1310	425/28891	7.35873085442603e-18	1.37583737874919e-14	9.04994794553096e-15	Igkv4-57/Igkv8-27/Igkv9-123/Igkv4-63/Igkv12-44/Igkv4-55/Xbp1/Igkv4-86/Nuggc/Igkv6-13/Cd96/Igkv6-15/Tbx21/Mzb1/Igkv4-72/Il18rap/Prg2/Clnk/Xcl1/Cd160/Ptpn22/Cd81/Aicda/Bst2/Il18r1/Ifng/Inava/Pgc/Tnfrsf1b/Fcgr4/Enpp1/Cd244a/H2-Q4/Gata3/Tgfb3/Igkv4-92/Igkv4-62/Axl/Kit/Kdelr1/Litaf/Igkv8-24/Igkv5-43/Tnfaip3/Cd226/Gas6/Igkv4-54/Igkv4-51/Il1r1/Tlr9/Lax1/Tlr7/Igkv5-39/Igkv6-20/Arid5a/Il7r/Nr4a3/Mmp7/Igkv4-69/Scimp/Exo1/Pycard/Fosl2/P2rx7/Cd27	65
GO:0050727	regulation of inflammatory response	63/1310	411/28891	2.12804118900893e-17	2.98404575728778e-14	1.96283799144113e-14	Tff2/Cd200r2/Reg3g/Gpx2/Cd200r4/Nkg7/Xcl1/Reg3b/Apoe/Rora/Nt5e/Cd81/Csf1r/Nr1d1/Ifng/App/Cst7/Nr1d2/Fcgr1/Cebpa/Tnfrsf1b/Nlrc3/Cd200r1/H2-Q4/Gata3/Dusp10/Adam8/Sirpa/Nr1h4/Cx3cr1/Il22ra2/C3/Il22ra1/Nlrp6/Ada/Adora2a/Grn/Aim2/Ccl24/Stk39/Zfp36/Lilra5/Tnfaip3/Irgm1/Fpr2/Il1r1/Tlr9/Alox15/Cd44/Ccl5/Il16/Jak2/Mvk/Nlrp12/Socs3/Rictor/Tnfrsf11a/Pycard/Ccr5/Tnfsf11/Stat5a/Fcgr3/Ctss	63
GO:0002768	immune response-regulating cell surface receptor signaling pathway	52/1310	294/28891	2.95115952722991e-17	3.31061075764652e-14	2.17764508272439e-14	Prkch/Txk/Klrd1/Cd3e/Cd8a/Skap1/Cd160/Zap70/Ptpn22/C5ar1/Cd81/Cmklr1/Lck/Nr1d1/Appl2/Ifng/Kcnn4/Itk/C3ar1/Sla2/Fyn/Tcrb/Gcsam/Gata3/Pde4d/Oas1g/Kit/Thy1/Ada/Klri1/Plcg1/Plscr1/Lat/Btnl6/Ctla4/Tnfaip3/Cd226/Fpr2/Vav3/Pde4b/Lax1/Pigr/Zc3h12a/Nr4a3/Cblb/C5ar2/Scimp/Sh2b2/Fosl2/Klri2/Klrc1/Rab7b	52
GO:0032609	type II interferon production	35/1310	141/28891	9.36933706551678e-17	8.7587686000806e-14	5.76132042362041e-14	Txk/Cd96/Tlr8/Cd3e/Il18rap/Cd160/Ptpn22/Il18r1/App/Itk/Crtam/Il12rb2/Enpp1/Cd244a/Gata3/Pde4d/Sirpa/Axl/Nr1h4/Il23r/Nlrp6/Irgm1/Eomes/Cd226/Gas6/Il1r1/Tlr9/Pde4b/Tlr7/Arid5a/Zc3h12a/Jak2/Pycard/Cd27/Il12rb1	35
GO:0045088	regulation of innate immune response	67/1310	474/28891	1.41429675549924e-16	1.02878365984681e-13	6.76710686352398e-14	Txk/Cd96/Tlr8/Gbp2b/Klrd1/Reg3g/Il18rap/Clnk/Xcl1/Rbm47/Cd160/Ptpn22/Apoe/Nr1d1/Ceacam1/Appl2/Klrb1a/App/Crtam/Lgr4/Inava/Atat1/Nlrc3/H2-Q4/Cfh/Aurkb/Ccr1/Oas1g/Dusp10/Adam8/Susd4/Lag3/Nr1h4/Ifi204/Hexim1/Trim31/Nlrp6/Klri1/Grn/Plscr1/Unc93b1/Aim2/Nlrc5/Ifi211/Klrb1c/Sfpq/Rnf125/Serpinb9/Tnfaip3/Irgm1/Cd226/Fpr2/Zc3hav1/Tlr9/Tlr7/Klrb1b/Ddx3x/Tlr13/Scimp/Mapkapk3/Pycard/Cptp/Cd300lf/Stat5a/Klri2/Klrc1/Rab7b	67
GO:0002429	immune response-activating cell surface receptor signaling pathway	50/1310	284/28891	1.46733272932332e-16	1.02878365984681e-13	6.76710686352398e-14	Prkch/Txk/Klrd1/Cd3e/Cd8a/Skap1/Cd160/Zap70/Ptpn22/C5ar1/Cd81/Cmklr1/Lck/Nr1d1/Appl2/Ifng/Kcnn4/Itk/C3ar1/Sla2/Fyn/Tcrb/Gcsam/Gata3/Pde4d/Oas1g/Thy1/Ada/Klri1/Plcg1/Plscr1/Lat/Btnl6/Ctla4/Tnfaip3/Cd226/Fpr2/Vav3/Pde4b/Lax1/Zc3h12a/Nr4a3/Cblb/C5ar2/Scimp/Sh2b2/Fosl2/Klri2/Klrc1/Rab7b	50
GO:0002697	regulation of immune effector process	66/1310	473/28891	4.59341999549152e-16	2.83778942714037e-13	1.86663387640671e-13	Xbp1/Cd96/Tbx21/Klrd1/Mzb1/Il18rap/Prg2/Clnk/Xcl1/Cd160/Ptpn22/Cd81/Ceacam1/Bst2/Il18r1/Appl2/Ifng/Klrb1a/Fcgr1/Crtam/Inava/Pgc/Tnfrsf1b/Muc4/Cd244a/H2-Q4/Cfh/Gata3/Tgfb3/Ms4a2/Cfp/H2-T24/Dusp10/Zbtb7b/Susd4/Lag3/Axl/Cx3cr1/Kit/C6/C3/Klri1/Grn/Litaf/Klrb1c/Serpinb9/Tnfaip3/Cd226/Il1r1/Tlr9/Tlr7/Klrb1b/Arid5a/Zc3h12a/Il7r/Nr4a3/Zbtb1/Scimp/Cd177/Pycard/P2rx7/Cd27/Stat5a/Klri2/Klrc1/Fcgr3	66
GO:0019221	cytokine-mediated signaling pathway	64/1310	450/28891	5.05935002164444e-16	2.83778942714037e-13	1.86663387640671e-13	Tff2/Txk/Il2rb/Il18rap/Xcl1/Rbm47/Yap1/Tnfrsf17/Csf1r/Ceacam1/Egr1/Il18r1/Appl2/Ifng/Ptprf/Il12rb2/Cebpa/Gab1/Ccr1/Oas1g/Ccl7/Axl/Pf4/Nr1h4/Traf1/Il23r/Cx3cr1/Kit/Il22ra2/Il22ra1/Nlrp6/Ccl22/Ifitm2/Aim2/Nlrc5/Duox2/Prlr/Ccl24/Stk39/Lilra5/Lifr/Irgm1/Stat4/Gas6/Il1r1/Padi2/Ccl5/Numbl/Il7r/Il16/Jak2/Il1r2/Tnfrsf11a/Pycard/Pdgfb/Sh2b2/Ccr5/Cd300lf/Tnfsf11/Il13ra1/Ppp2cb/Stat5a/Il12rb1/Ccl6	64
