ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0140534	endoplasmic reticulum protein-containing complex	32/1323	135/28573	1.41753347108261e-14	8.53355149591733e-12	6.25206867772226e-12	Pdia4/Hsp90b1/Mzb1/Derl3/Sdf2l1/Sel1l/Ssr4/Ddost/Hyou1/Pdia6/Magt1/Rpn1/Srprb/Spcs2/Dnajb11/H13/Syvn1/Mlec/H2-Q4/Sec61a1/Spcs3/Stt3a/Krtcap2/Spcs1/Rnf125/Rpn2/Pdia3/Sec61b/Sec11c/Ern2/Rint1/Ostc	32
GO:0005902	microvillus	27/1323	107/28573	3.19262956599034e-13	9.60981499363094e-11	7.04058835868397e-11	Car2/Vil1/Slc34a2/Rapgef3/Adcy6/Lyz2/Kcnj10/Cubn/Prom1/Muc4/Erbb2/Ceacam20/Mttp/Pdgfa/Cdhr5/Myo7b/Cd44/Slc7a8/Fscn3/Myo1b/Myo1h/Cnp/Slc10a2/Stard10/Cdhr2/Myo1d/Slc27a4	27
GO:0043235	receptor complex	55/1323	417/28573	3.0244346372856e-12	6.0690321721531e-10	4.44644951937777e-10	Itgad/Cd3g/Itgae/Klrd1/Cd3e/Cd8a/Il18rap/Skap1/Cd3d/Zap70/Itga1/Csf1r/Ceacam1/Il18r1/Stxbp5/Erbb3/App/Cubn/Il12rb2/Itgb5/Tcrb/Vdr/Emilin1/Cd200r1/Plxna4/Itga9/Plxnb2/Erbb2/Trf/Ephb4/Axl/Nr1h4/Traf1/Il23r/Kit/Mttp/Lrp1/Prlr/Abcg5/Mertk/Lifr/Fgfr4/Cd44/Tlr7/Pigr/Kctd12/Gabbr1/Plxna1/Jak2/Scimp/Tgfbr1/Il13ra1/Acvr2a/Klrc1/Il12rb1	55
GO:0005903	brush border	30/1323	149/28573	8.46781246826469e-12	1.27440577647384e-09	9.33687743211291e-10	Soat2/Vil1/Pls1/Slc34a2/Rapgef3/Cubn/Prom1/Myh14/Cgn/Mttp/Slc5a8/Atp8b1/Slc28a3/Myo5b/Cdhr5/Slc28a2/Myo7b/Slc38a2/Lima1/Gna13/Myo1b/Myh10/Slc26a3/Myo15b/Coro2a/Havcr1/Slc22a5/Cdhr2/Myo1d/Slc27a4	30
GO:0009925	basal plasma membrane	43/1323	301/28573	5.44528675501112e-11	5.37028125283327e-09	3.93451275561661e-09	Car2/C5ar1/Slco2b1/Cd81/Rapgef3/Ceacam1/P2ry6/Erbb3/Dsp/Kcnn4/Epcam/Kcnj10/Rasgrf1/Gm1123/Slc12a2/Cdh17/Abcc3/Itga9/Erbb2/Trf/P2ry12/Aqp4/Mttp/Lrp1/Slc16a10/Stk39/Heph/St14/Atp1b1/Atp2b4/Tlr9/Cd44/Slc7a8/Slc51a/Slc26a10/C5ar2/Slc2a1/Slc43a3/Pdgfb/Tgfbr1/Slc22a5/Hpgd/Myo1d	43
GO:0045178	basal part of cell	45/1323	325/28573	5.65304664190265e-11	5.37028125283327e-09	3.93451275561661e-09	Car2/Itga1/C5ar1/Slco2b1/Cd81/Rapgef3/Ceacam1/P2ry6/Erbb3/Dsp/Kcnn4/Epcam/Kcnj10/Rasgrf1/Gm1123/Slc12a2/Cdh17/Abcc3/Itga9/Erbb2/Trf/P2ry12/Aqp4/Mttp/Lrp1/Slc16a10/Kcne3/Stk39/Heph/St14/Atp1b1/Atp2b4/Tlr9/Cd44/Slc7a8/Slc51a/Slc26a10/C5ar2/Slc2a1/Slc43a3/Pdgfb/Tgfbr1/Slc22a5/Hpgd/Myo1d	45
GO:0098858	actin-based cell projection	37/1323	234/28573	6.24451308468985e-11	5.37028125283327e-09	3.93451275561661e-09	Car2/Vil1/Pls1/Slc34a2/Rapgef3/Adcy6/Lyz2/App/Kcnj10/Kitl/Cubn/Prom1/Muc4/Acp3/Erbb2/Ceacam20/Mttp/Ppp1r9a/Atp8b1/Gpm6a/Pdgfa/Cdhr5/Myo7b/Map2/Cd44/Slc7a8/Fscn3/Scimp/Myo1b/Myo1h/Cnp/Slc10a2/Stard10/Actn2/Cdhr2/Myo1d/Slc27a4	37
GO:0016324	apical plasma membrane	50/1323	427/28573	1.95455035364772e-09	1.47079914111991e-07	1.07757447128736e-07	Abcb1a/Aspm/Slco2b1/Cd81/Slc34a2/Muc13/Ceacam1/Bst2/P2ry6/Erbb3/Kcnn4/Epcam/Kcnj10/Cfap126/Cubn/Tnik/Slc12a2/Prom1/Muc4/Lmo7/Mgam/Shroom3/Erbb2/Trf/Ceacam20/Slc5a8/Thy1/Atp8b1/Dab2/Stk39/Abcg5/Ctsb/Cdhr5/Cyp4f14/Atp1b1/Tlr9/Cd44/Slc7a8/Pdia3/Ocln/Slc2a1/Anxa4/Slc26a3/Birc5/Tgfbr1/Slc10a2/Havcr1/Frmd6/Slc22a5/Cdhr2	50
GO:0016323	basolateral plasma membrane	37/1323	267/28573	2.77337524791811e-09	1.85507988805189e-07	1.35911605716689e-07	Car2/C5ar1/Cd81/Ceacam1/P2ry6/Erbb3/Dsp/Kcnn4/Epcam/Kcnj10/Rasgrf1/Gm1123/Slc12a2/Cdh17/Abcc3/Erbb2/Aqp4/Mttp/Lrp1/Slc16a10/Stk39/Heph/St14/Atp1b1/Atp2b4/Tlr9/Cd44/Slc7a8/Slc51a/Slc26a10/Slc2a1/Slc43a3/Pdgfb/Tgfbr1/Slc22a5/Hpgd/Myo1d	37
GO:0005819	spindle	44/1323	367/28573	8.86754266268574e-09	5.33826068293682e-07	3.91105302701613e-07	Gpx2/Ccnb1/Tpx2/Cenpe/Aspm/Tppp/Hmmr/Espl1/Cenpf/Camk2b/App/Nusap1/Plk3/Kif11/Kif22/Prc1/Atat1/Plk1/Kifc1/Kif18b/Nek2/Kif14/Aurkb/Cdca8/Cdc6/Pkp4/Kif20a/Cdk1/Bub1b/Hnf4g/Cttn/Gpsm2/Ect2/Taf1d/Tubb2b/Cdc25b/Misp/Myh10/Birc5/Chmp4c/Cenpv/Kif23/Klhl21/Ska2	44
GO:0051233	spindle midzone	13/1323	39/28573	1.1164818472946e-08	6.1102006551941e-07	4.47661142599463e-07	Cenpe/Camk2b/App/Prc1/Plk1/Kif18b/Kif14/Aurkb/Cdca8/Cdc6/Pkp4/Cttn/Cenpv	13
GO:0030496	midbody	30/1323	203/28573	1.95668784683765e-08	9.81605069830222e-07	7.19168603355243e-07	Hsp90b1/Cpeb3/Cenpe/Aspm/Ctnnd1/Cenpf/Rab11fip4/Prc1/Plk1/Nek2/Cep55/Kif14/Aurkb/Cdca8/Pkp4/Defa2/Kif20a/Cdk1/Ect2/Anln/Kif4/Cit/Il16/Slc2a1/Gnl3/Myh10/Birc5/Chmp4c/Cenpv/Kif23	30
