ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0140375	immune receptor activity	33/1284	138/28407	2.09584941018468e-15	2.13776639838838e-12	1.6193194390269e-12	Ccr10/Klrd1/Il2rb/Il18rap/Cd160/C5ar1/Cmklr1/Il18r1/C3ar1/Fcgr1/Il12rb2/Fcgr4/Ccr1/Ms4a2/Il23r/Cx3cr1/Il22ra2/Il22ra1/Prlr/Lilra5/Lifr/Fpr2/Il1r1/Cd44/Pigr/Il7r/C5ar2/Il1r2/Ccr5/Il13ra1/Klrc1/Il12rb1/Fcgr3	33
GO:0030246	carbohydrate binding	40/1284	283/28407	1.72982756643261e-10	8.8221205888063e-08	6.68259701979755e-08	Cd93/Klrd1/Reg3g/Mrc1/Siglec1/Lman1/Prg2/Reg3b/Pygm/Klra5/Adgrl2/Klrb1a/Endou/Klrh1/Klra2/Mlec/Enpp1/Pfkp/Clec2h/Galnt6/Gusb/Ppp1r3b/Klrg2/Clec4a3/Reg4/Klri1/Gfpt1/Klra6/Klrb1c/Pklr/Clec4a1/Slc2a3/Nomo1/Klrb1b/Hkdc1/Chid1/Klri2/Lman2l/Plod1/Fuom	40
GO:0042578	phosphoric ester hydrolase activity	44/1284	350/28407	9.85389715445208e-10	3.35032503251371e-07	2.5378107057431e-07	Plcd3/Ptpn22/Nt5e/Plch2/Lck/Pon3/Ptprf/Sgpp2/Ptpn5/Tns3/Smpd5/Alpl/Ptp4a1/Enpp1/Acp3/Inpp5j/Pde4d/Ccr1/Ubash3b/Ppm1j/Dusp10/Ppp1r3b/Plcb3/Tdp2/Plcg1/Gdpd1/Dnajc6/Dusp14/Acp2/Plcxd2/Smpd3/Pde4b/Ppm1h/Plpp5/Ccl5/Cdc25b/Fan1/Dusp5/Fbp2/Eya2/Cnp/Pde1b/Ppp2cb/Inpp5b	44
GO:0005319	lipid transporter activity	29/1284	181/28407	3.0511637802394e-09	7.78046763961046e-07	5.89356372288347e-07	Apob/Abca9/Abcb1a/Gramd1b/Apoe/Slco2b1/Ceacam1/Abcc3/Mttp/Slc5a8/Gramd1a/Plscr1/Slc27a2/Atp8b1/Abcg5/Atp10b/Slc51a/Stard5/Abca8a/Tmem30b/Slc2a1/Slc43a3/Cptp/Osbpl3/Ano9/Slc10a2/Clptm1l/Slc27a4/Triap1	29
GO:0019955	cytokine binding	25/1284	145/28407	8.02950015241316e-09	1.63801803109229e-06	1.24076907618342e-06	Ccr10/Gbp2b/Il2rb/Csf1r/Il18r1/Il12rb2/Tnfrsf1b/Tgfb3/Ccr1/Il23r/Cx3cr1/Kit/Il22ra2/Il22ra1/Prlr/Zfp36/Lifr/Il1r1/Cd44/Il1r2/Tnfrsf11a/Ccr5/Tgfbr1/Il13ra1/Il12rb1	25
GO:0004896	cytokine receptor activity	19/1284	96/28407	5.01249565707038e-08	8.52124261701964e-06	6.45468738998185e-06	Ccr10/Il2rb/Il18rap/Il18r1/Il12rb2/Ccr1/Il23r/Cx3cr1/Il22ra2/Il22ra1/Prlr/Lifr/Il1r1/Cd44/Il7r/Il1r2/Ccr5/Il13ra1/Il12rb1	19
GO:0038024	cargo receptor activity	17/1284	82/28407	1.23559796244163e-07	1.80044274527209e-05	1.36380286380776e-05	Sdc1/Stab1/Mrc1/Cd163/Hmmr/Lsr/Cubn/Endou/Enpp1/Msr1/Lrp1/Dab2/Tmprss4/Cd44/Lgals3bp/Tmprss2/Apobr	17
GO:0050839	cell adhesion molecule binding	36/1284	306/28407	1.73798429275331e-07	2.21592997326047e-05	1.67852693536964e-05	Itgad/Pdia4/Itgae/Itga1/Ctnnd1/Cd81/App/Ptprf/Epcam/S1pr2/Igsf9/Gm1123/Itgb5/Emilin1/Cdh17/Cd200r1/Prom1/Itga9/Pkp4/Adam8/Sirpa/Tspan8/Mmp14/Thy1/Dab2/Nrcam/Fermt1/Cd226/Cdhr5/Izumo1/Jam2/Gpnmb/Cd177/Cdh24/Neo1/Cdhr2	36
GO:0008081	phosphoric diester hydrolase activity	17/1284	86/28407	2.5585919019177e-07	2.89973748884007e-05	2.19649877895625e-05	Plcd3/Plch2/Smpd5/Enpp1/Pde4d/Ccr1/Plcb3/Tdp2/Plcg1/Gdpd1/Plcxd2/Smpd3/Pde4b/Ccl5/Fan1/Cnp/Pde1b	17
GO:0004713	protein tyrosine kinase activity	21/1284	132/28407	5.01239736577812e-07	5.11264531309368e-05	3.87273649103278e-05	Txk/Zap70/Csf1r/Lck/Erbb3/Itk/Fyn/Erbb2/Ttk/Ephb4/Axl/Kit/Nrg2/Mertk/Clk1/Fgfr4/Srms/Dyrk3/Jak2/Clk4/Nrp1	21
GO:0003774	cytoskeletal motor activity	18/1284	110/28407	2.1208336278795e-06	0.000196659118221554	0.000148965730417565	Cenpe/Kif11/Kif22/Kifc1/Kif18b/Kif14/Myh14/Kif20a/Kif15/Stard9/Myo5b/Kif4/Myo7b/Myo1b/Myo1h/Myh10/Kif23/Myo1d	18
GO:0051015	actin filament binding	27/1284	219/28407	2.38218994677099e-06	0.000202486145475534	0.000153379598327185	Gas7/Vil1/Pls1/Marcks/Shroom3/Myh14/Iqgap3/Cttn/Clmn/Dstn/Pof1b/Ppp1r9a/Syne1/Myo5b/Fermt1/Myo7b/Myl4/Lima1/Gas2l1/Fscn3/Myo1b/Myo1h/Misp/Myh10/Coro2a/Actn2/Myo1d	27
GO:0003779	actin binding	43/1284	448/28407	3.19902558442031e-06	0.00025100046893144	0.000190128322183361	Gbp2b/Gas7/Vil1/Pls1/Ceacam1/Marcks/Mlph/Klhl3/Mybpc2/Gcsam/Shroom3/Sntb1/Myh14/Iqgap3/Cttn/Clmn/Dstn/Ncald/Pof1b/Ppp1r9a/Impact/Ccdc88a/Syne1/Myo5b/Fermt1/Anln/Myo7b/Map2/Ang4/Myl4/Lima1/Gas2l1/Fscn3/Myo1b/Cobl/Myo1h/Ccr5/Misp/Myh10/Coro2a/Baiap2l1/Actn2/Myo1d	43
GO:0008017	microtubule binding	30/1284	269/28407	5.36441872191491e-06	0.000390836221168086	0.000296051379089139	Cenpe/Nusap1/Kif11/Mlph/Kif22/Prc1/Plk1/Eml5/Kifc1/Kif18b/Kif14/Kif20a/Cgn/Kif15/Gtse1/Stard9/Hdgfl3/Ccdc88a/Spc24/Kif4/Map2/Irag2/Dnai7/Gas2l1/Map4k4/Hook2/Birc5/Akap1/Kif23/Ska2	30
GO:0005178	integrin binding	21/1284	153/28407	5.75283568803565e-06	0.000391192826786424	0.000296321501404784	Itgad/Pdia4/Itgae/Itga1/Cd81/App/S1pr2/Itgb5/Emilin1/Cdh17/Itga9/Adam8/Tspan8/Mmp14/Thy1/Dab2/Fermt1/Cd226/Jam2/Gpnmb/Cd177	21
