category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Genetic Information Processing	Folding, sorting and degradation	mmu04141	Protein processing in endoplasmic reticulum - Mus musculus (house mouse)	36/683	175/9711	3.4898607635918e-09	1.14118446969452e-06	1.01022285261868e-06	Xbp1/Txndc5/Ckap4/Pdia4/Edem2/Hsp90b1/Derl3/Lman1/Herpud1/Sel1l/Ssr4/Ddost/Hyou1/Pdia6/Edem1/Magt1/Rpn1/Dnajb11/Syvn1/Sec24d/Atf6b/Sec61a1/Tram1/Stt3a/Atf6/Rrbp1/Ssr2/Rpn2/Pdia3/Dnajc3/Sec61b/Man1b1/Mogs/Ostc/Eif2ak3/Man1c1	36
Organismal Systems	Immune system	mmu04658	Th1 and Th2 cell differentiation - Mus musculus (house mouse)	20/683	88/9711	2.15528573670304e-06	0.000314312216210225	0.000278241942564983	Cd3g/Tbx21/Il2rb/Cd3e/Cd3d/Prkcq/Fos/Zap70/Lck/Ifng/Jun/Il12rb2/Gata3/Plcg1/Lat/Stat4/Jak2/Stat5a/Il12rb1/Mapk12	20
Organismal Systems	Immune system	mmu04659	Th17 cell differentiation - Mus musculus (house mouse)	22/683	105/9711	2.88359831385528e-06	0.000314312216210225	0.000278241942564983	Cd3g/Tbx21/Il2rb/Cd3e/Cd3d/Prkcq/Fos/Zap70/Rora/Lck/Ifng/Jun/Gata3/Il23r/Plcg1/Lat/Il1r1/Jak2/Tgfbr1/Stat5a/Il12rb1/Mapk12	22
Environmental Information Processing	Signaling molecules and interaction	mmu04061	Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)	19/683	95/9711	2.72643030990661e-05	0.00182101199600012	0.00161203379655572	Ccr10/Ccl28/Il2rb/Il18rap/Xcl1/Csf1r/Il18r1/Tnfsf10/Tnfrsf1b/Ccr1/Ccl7/Pf4/Cx3cr1/Il22ra1/Ccl22/Ccl24/Ccl5/Ccr5/Ccl6	19
Cellular Processes	Cell growth and death	mmu04110	Cell cycle - Mus musculus (house mouse)	26/683	157/9711	3.38561764051538e-05	0.00182101199600012	0.00161203379655572	Ccnb1/Ccna2/Espl1/E2f2/Knl1/Plk1/Aurkb/Tgfb3/Ttk/Cdc6/Cdk1/Bub1b/Bub1/Esco2/Cdc20/Ccnd1/Cdca5/Cdc25b/Gadd45a/Pcna/Ticrr/Mcm5/Ccnb2/Ppp2cb/Fzr1/Cdc45	26
Organismal Systems	Immune system	mmu04660	T cell receptor signaling pathway - Mus musculus (house mouse)	22/683	122/9711	3.56469380949999e-05	0.00182101199600012	0.00161203379655572	Cd3g/Cd3e/Cd8a/Cd3d/Prkcq/Fos/Zap70/Lck/Ifng/Itk/Fyn/Jun/Grap2/Ppp2r2c/Plcg1/Lat/Map3k8/Ctla4/Vav3/Cblb/Ppp2cb/Mapk12	22
Environmental Information Processing	Signaling molecules and interaction	mmu04060	Cytokine-cytokine receptor interaction - Mus musculus (house mouse)	40/683	294/9711	3.89819081712564e-05	0.00182101199600012	0.00161203379655572	Ccr10/Ccl28/Fasl/Il2rb/Il18rap/Xcl1/Tnfrsf9/Tnfrsf17/Csf1r/Il18r1/Ifng/Il12rb2/Tnfsf10/Tnfrsf1b/Tgfb3/Ccr1/Ccl7/Pf4/Il23r/Cx3cr1/Il22ra1/Ccl22/Tnfrsf13b/Prlr/Ccl24/Lifr/Il1r1/Ccl5/Il7r/Il16/Il1r2/Tnfrsf11a/Ccr5/Tnfsf11/Tgfbr1/Il13ra1/Cd27/Acvr2a/Il12rb1/Ccl6	40
Cellular Processes	Transport and catabolism	mmu04148	Efferocytosis - Mus musculus (house mouse)	26/683	161/9711	5.27331031711285e-05	0.00202787592890679	0.00179515815370793	Stab1/C1qc/C1qa/C1qb/Camk2b/P2ry6/Gpr132/Itgb5/Sirpa/Axl/P2ry12/Cx3cr1/Lrp1/Mertk/Gas6/Alox15/Cpt1a/Dusp5/Jak2/Slc2a1/Pla2g15/Ano9/Havcr1/Mapk12/Ptger2/Rab7b	26
Metabolism	Glycan biosynthesis and metabolism	mmu00510	N-Glycan biosynthesis - Mus musculus (house mouse)	13/683	53/9711	5.58130989607374e-05	0.00202787592890679	0.00179515815370793	Mgat3/St6gal1/Ddost/Magt1/Rpn1/Fut8/Mgat1/Stt3a/Rpn2/Man1b1/Mogs/Ostc/Man1c1	13
Human Diseases	Infectious disease: parasitic	mmu05142	Chagas disease - Mus musculus (house mouse)	19/683	103/9711	8.73024446398994e-05	0.00285478993972471	0.00252717602904972	Cd3g/Fasl/Cd3e/C1qc/Cd3d/C1qa/Fos/C1qb/Ifng/Jun/Ppp2r2c/Tgfb3/Plcb3/C3/Tlr9/Ccl5/Tgfbr1/Ppp2cb/Mapk12	19
