gene,fold.change,p.adjvalue,rank,pvalue
0610005C13Rik,-0.232683836,0.305310818,-1.62E+00,0.023936574
0610006L08Rik,0,1,0.00E+00,
0610009E02Rik,0.248760122,0.251631472,1.87E+00,0.013591463
0610009L18Rik,-0.085262972,0.657690741,-5.15E-01,0.305380987
0610010K14Rik,0.243431661,0.317318781,1.58E+00,0.026517098
0610025J13Rik,-0.022997103,1,-4.82E-01,0.329681467
0610030E20Rik,-0.196335232,0.406538018,-1.20E+00,0.062644113
0610031O16Rik,-0.025913984,0.851740874,-1.92E-01,0.642536862
0610038B21Rik,0,1,0.00E+00,
0610039H22Rik,0.012741627,1,2.78E-01,0.527524762
0610039K10Rik,0.042072238,0.748768804,3.49E-01,0.448084602
0610040B10Rik,0.030429476,0.821351304,2.34E-01,0.583503208
0610040F04Rik,-0.019977094,0.927862371,-8.82E-02,0.81628122
0610040J01Rik,-0.083349171,0.698079433,-4.34E-01,0.368481021
0610042G04Rik,0.008682052,0.961541276,4.65E-02,0.89843054
0610043K17Rik,0.122515054,0.44348693,1.09E+00,0.080915602
1100001I12Rik,0,1,0.00E+00,
1110002E22Rik,0,1,0.00E+00,
1110002J07Rik,0.002182157,0.98708037,1.68E-02,0.962053774
1110002L01Rik,0.028660819,0.897958176,1.29E-01,0.742720148
1110002O04Rik,0,1,0.00E+00,
1110004F10Rik,-0.107936254,0.63025893,-5.80E-01,0.262819978
1110006O24Rik,0.126529418,0.422866539,1.16E+00,0.069726167
1110015O18Rik,0,1,0.00E+00,
1110018N20Rik,-0.000633356,1,-8.34E-03,0.980983711
1110019D14Rik,0.00216844,0.992321181,8.95E-03,0.979593752
1110020A21Rik,0.032409086,0.836889421,2.11E-01,0.614499678
1110025L11Rik,0,1,0.00E+00,
1110025M09Rik,-0.035706491,0.74816605,-3.49E-01,0.447207152
1110028F11Rik,0,1,0.00E+00,
1110028F18Rik,-0.019443739,1,-2.68E-01,0.539505223
1110032F04Rik,-0.019428545,1,-2.68E-01,0.539797465
1110036E04Rik,0.069414967,0.636271276,5.70E-01,0.268902648
1110038B12Rik,0.34078007,0.181185457,2.21E+00,0.006207896
1110038F14Rik,0.163146572,0.440200952,1.10E+00,0.078993108
1110046J04Rik,-0.040161096,0.708797857,-4.16E-01,0.383699207
1110057P08Rik,0,1,0.00E+00,
1110058D11Rik,0,1,0.00E+00,
1110059E24Rik,-0.0684883,0.75622677,-3.36E-01,0.461149425
1110059G10Rik,-0.047404162,0.829524301,-2.24E-01,0.597431639
1110065P20Rik,-0.05986333,0.772205886,-3.09E-01,0.490439223
1190005I06Rik,0,1,0.00E+00,
1190028D05Rik,0.004599638,1,8.69E-02,0.818568654
1300002E11Rik,-0.018612476,0.936264724,-7.76E-02,0.83642004
1500002C15Rik,-0.009045955,1,-8.78E-02,0.816935338
1500002F19Rik,-0.028073846,0.799478636,-2.63E-01,0.545355904
1500004A13Rik,-0.027244112,0.796339612,-2.71E-01,0.536012603
1500009L16Rik,0.172343763,0.446866418,1.08E+00,0.082972902
1500011B03Rik,0.188499121,0.37362868,1.34E+00,0.045990969
1500012K07Rik,0,1,0.00E+00,
1500015A07Rik,0.035703018,0.839163671,2.09E-01,0.618413862
1500015L24Rik,-0.011844845,1,-2.52E-01,0.559171526
1500026H17Rik,0.004324014,0.978270825,2.72E-02,0.939215393
1500035N22Rik,-0.028243071,1,-5.30E-01,0.295035101
1600002D24Rik,0.047627096,0.718588935,3.97E-01,0.400443466
1600010M07Rik,0.098531777,0.260072229,1.82E+00,0.015041673
1600012H06Rik,-0.136560251,0.548447261,-7.96E-01,0.160072162
1600012P17Rik,0.003491901,1,4.96E-02,0.892041167
1600014C10Rik,-0.074975059,0.64642368,-5.42E-01,0.28686085
1600014C23Rik,-0.004464774,1,-8.53E-02,0.821586281
1600015H23Rik,0,1,0.00E+00,
1600019K03Rik,0,1,0.00E+00,
1600020E01Rik,0.623967322,0.102286199,2.84E+00,0.001459736
1600023N17Rik,0.066863966,0.584447137,6.86E-01,0.206265109
1600025M17Rik,0,1,0.00E+00,
1600027J07Rik,-0.009371731,1,-1.93E-01,0.641518987
1600029I14Rik,0,1,0.00E+00,
1700001D01Rik,0.004060653,1,7.59E-02,0.839733473
1700001F09Rik,0,1,0.00E+00,
1700001G01Rik,0,1,0.00E+00,
1700001G11Rik,-0.004438103,1,-8.48E-02,0.822616082
1700001G17Rik,0.029925814,0.759797071,3.29E-01,0.468980679
1700001J03Rik,0.076591984,0.580213047,6.96E-01,0.201433353
1700001J04Rik,0,1,0.00E+00,
1700001K19Rik,3.366114559,0.004842108,5.22E+00,5.97E-06
1700001K23Rik,-0.009085002,1,-1.86E-01,0.65146485
1700001L05Rik,-0.160123137,0.493382398,-9.56E-01,0.110561692
1700001O22Rik,-0.016408279,0.926633407,-9.00E-02,0.812917572
1700003C15Rik,0,1,0.00E+00,
1700003D09Rik,-0.016066675,0.93524015,-7.91E-02,0.833481272
1700003E16Rik,-0.049581523,0.653220472,-5.25E-01,0.298826463
1700003E24Rik,0,1,0.00E+00,
1700003F12Rik,-0.007125858,1,-1.42E-01,0.721452142
1700003G18Rik,0.004573961,1,8.64E-02,0.819575773
1700003H04Rik,0,1,0.00E+00,
1700003I22Rik,1.161375383,0.047877269,3.48E+00,0.000331452
1700003L19Rik,0,1,0.00E+00,
1700003M07Rik,-0.009371731,1,-1.93E-01,0.641518987
1700003P14Rik,0,1,0.00E+00,
1700006A11Rik,0,1,0.00E+00,
1700006F04Rik,0,1,0.00E+00,
1700006H20Rik,0,1,0.00E+00,
1700006H21Rik,0,1,0.00E+00,
1700006J14Rik,-0.00143029,0.993418502,-7.87E-03,0.982052842
1700007F19Rik,0,1,0.00E+00,
1700007J10Rik,-0.152310759,0.343131997,-1.47E+00,0.034042301
1700007L15Rik,-0.144979548,0.361533277,-1.39E+00,0.041151804
1700007P06Rik,0,1,0.00E+00,
1700008C04Rik,-0.009055273,1,-1.85E-01,0.652500558
1700008J07Rik,-0.003965487,0.986514985,-1.79E-02,0.959664574
1700008K24Rik,0,1,0.00E+00,
1700008O03Rik,0.094412605,0.515063651,8.98E-01,0.126503047
1700009C05Rik,0,1,0.00E+00,
1700009J07Rik,0.009306573,1,1.94E-01,0.639610063
1700009N14Rik,0,1,0.00E+00,
1700010B08Rik,-0.004438103,1,-8.48E-02,0.822616082
1700010D01Rik,0,1,0.00E+00,
1700010G06Rik,0.012621243,0.891232578,1.38E-01,0.728391339
1700010H22Rik,0,1,0.00E+00,
1700010I02Rik,-0.009085002,1,-1.86E-01,0.65146485
1700010I14Rik,0.06966746,0.684701908,4.62E-01,0.345315478
1700010J16Rik,0,1,0.00E+00,
1700010K23Rik,0.011511534,1,2.47E-01,0.565769524
1700010L04Rik,0,1,0.00E+00,
1700010N08Rik,0,1,0.00E+00,
1700011B04Rik,0,1,0.00E+00,
1700011C11Rik,-0.004438103,1,-8.48E-02,0.822616082
1700011L22Rik,-0.019504648,1,-2.19E-01,0.603764492
1700012A03Rik,0,1,0.00E+00,
1700012B07Rik,0,1,0.00E+00,
1700012B09Rik,-0.000696469,1,-1.25E-02,0.971719562
1700012C14Rik,0,1,0.00E+00,
1700012D01Rik,-0.028245352,1,-4.46E-01,0.358211624
1700012D16Rik,0,1,0.00E+00,
1700012H19Rik,0.048976389,1,9.83E-01,0.103925715
1700012I11Rik,-0.000696469,1,-1.25E-02,0.971719562
1700012J15Rik,0,1,0.00E+00,
1700013D24Rik,0.012741627,1,2.78E-01,0.527524762
1700013G24Rik,-0.012482313,1,-2.68E-01,0.538997274
1700013H16Rik,0.012741627,1,2.78E-01,0.527524762
1700013N06Rik,0,1,0.00E+00,
1700014L14Rik,0.034790136,1,8.29E-01,0.148170697
1700015C15Rik,0.012741627,1,2.78E-01,0.527524762
1700015I17Rik,-0.004438103,1,-8.48E-02,0.822616082
1700016A09Rik,-0.00963333,0.925852521,-9.09E-02,0.811116342
1700016B01Rik,0,1,0.00E+00,
1700016C19Rik,0,1,0.00E+00,
1700016G22Rik,0.026900615,0.840227247,2.07E-01,0.621301119
1700016H13Rik,-0.11378495,0.387567835,-1.28E+00,0.052488464
1700016J18Rik,0.026231081,1,6.49E-01,0.224402315
1700016K05Rik,0,1,0.00E+00,
1700016L04Rik,1.25E-05,1,1.93E-04,0.99955483
1700016L21Rik,0,1,0.00E+00,
1700016P04Rik,0,1,0.00E+00,
1700017B05Rik,0.084668867,0.684423269,4.63E-01,0.34474623
1700017G19Rik,0,1,0.00E+00,
1700017J07Rik,0,1,0.00E+00,
1700017L05Rik,0,1,0.00E+00,
1700017M07Rik,0,1,0.00E+00,
1700017N19Rik,0,1,0.00E+00,
1700018A04Rik,-0.004997102,1,-9.63E-02,0.80113492
1700018A23Rik,-0.036498867,0.723575744,-3.89E-01,0.40868564
1700018B08Rik,0.0020351,1,2.55E-02,0.942872812
1700018F24Rik,0,1,0.00E+00,
1700018L02Rik,0.011711083,0.934044777,8.09E-02,0.830011732
1700019A02Rik,0.005417909,1,6.40E-02,0.863053022
1700019C18Rik,0,1,0.00E+00,
1700019D03Rik,0.08647116,0.691441435,4.46E-01,0.357815843
1700019E08Rik,0,1,0.00E+00,
1700019F05Rik,0,1,0.00E+00,
1700019G24Rik,0,1,0.00E+00,
1700019J19Rik,-0.009085002,1,-1.86E-01,0.65146485
1700019M22Rik,0,1,0.00E+00,
1700019P21Rik,0,1,0.00E+00,
1700020A23Rik,0,1,0.00E+00,
1700020D12Rik,0,1,0.00E+00,
1700020D14Rik,0,1,0.00E+00,
1700020G03Rik,0,1,0.00E+00,
1700020G17Rik,0,1,0.00E+00,
1700020L13Rik,-0.010487178,1,-1.43E-01,0.720200688
1700020L24Rik,0.008897734,0.94249618,6.95E-02,0.852171352
1700020M21Rik,-0.004438103,1,-8.48E-02,0.822616082
1700020N01Rik,0.023147436,1,3.72E-01,0.42455602
1700020N15Rik,0,1,0.00E+00,
