gene,fold.change,p.adjvalue,rank,pvalue
0610005C13Rik,-0.601949626,1.53E-06,-7.61E+00,2.47E-08
0610006L08Rik,0,1,0.00E+00,
0610009E02Rik,-0.002992462,0.985321352,-1.38E-02,0.968720978
0610009L18Rik,-0.055175253,0.758748795,-2.64E-01,0.544455958
0610010K14Rik,-0.092666011,0.533721463,-5.42E-01,0.286851135
0610025J13Rik,-0.021924858,1,-2.55E-01,0.555388186
0610030E20Rik,0.096012759,0.502770759,5.87E-01,0.258805834
0610031O16Rik,0.013658178,1,9.62E-02,0.801395503
0610038B21Rik,-0.02476796,1,-4.67E-01,0.341275311
0610039H22Rik,0,1,0.00E+00,
0610039K10Rik,-0.026452191,0.864500865,-1.48E-01,0.710690598
0610040B10Rik,-0.12270233,0.345962881,-8.62E-01,0.137262772
0610040F04Rik,0.023787665,0.906796284,9.71E-02,0.799601903
0610040J01Rik,0.011037324,0.946750625,5.35E-02,0.884134843
0610042G04Rik,-0.12964954,0.386710163,-7.81E-01,0.165625238
0610043K17Rik,-0.059703217,1,-4.41E-01,0.361853237
1100001I12Rik,0,1,0.00E+00,
1110002E22Rik,0,1,0.00E+00,
1110002J07Rik,0.012792601,1,1.13E-01,0.770716071
1110002L01Rik,0.097676043,0.555469609,5.11E-01,0.30864135
1110002O04Rik,0,1,0.00E+00,
1110004F10Rik,0.099739843,0.477106201,6.29E-01,0.235165128
1110006O24Rik,-0.025965642,0.867298049,-1.45E-01,0.715433217
1110015O18Rik,0,1,0.00E+00,
1110018N20Rik,0.031522637,1,4.31E-01,0.370391359
1110019D14Rik,0.171234937,0.271815275,1.03E+00,0.093493626
1110020A21Rik,-0.021445131,0.91268688,-9.16E-02,0.809879349
1110025L11Rik,0,1,0.00E+00,
1110025M09Rik,-0.117693217,0.401023638,-7.53E-01,0.17672512
1110028F11Rik,0,1,0.00E+00,
1110028F18Rik,0.019502896,1,1.96E-01,0.637054289
1110032F04Rik,-0.224914886,0.155797853,-1.40E+00,0.039632787
1110036E04Rik,0.12081971,0.418903944,7.24E-01,0.188979223
1110038B12Rik,-0.062857757,0.698652677,-3.34E-01,0.463865925
1110038F14Rik,0.029973483,0.882837034,1.27E-01,0.746330417
1110046J04Rik,0.032581465,1,2.27E-01,0.592451088
1110057P08Rik,0,1,0.00E+00,
1110058D11Rik,0,1,0.00E+00,
1110059E24Rik,0.187412623,0.141185416,1.47E+00,0.034078119
1110059G10Rik,-0.021652688,0.913825531,-9.06E-02,0.81165317
1110065P20Rik,-0.122638441,0.442319106,-6.82E-01,0.207979897
1190005I06Rik,0,1,0.00E+00,
1190028D05Rik,0.011431264,1,2.35E-01,0.581892658
1300002E11Rik,0.194388957,0.192084268,1.26E+00,0.054854828
1500002C15Rik,-0.015773067,1,-9.69E-02,0.800032267
1500002F19Rik,-0.047458054,0.770610303,-2.50E-01,0.562117455
1500004A13Rik,-0.022197398,1,-1.31E-01,0.739188445
1500009L16Rik,0.219896897,0.160063531,1.38E+00,0.041271557
1500011B03Rik,-0.115324623,0.479288275,-6.24E-01,0.237541996
1500012K07Rik,0,1,0.00E+00,
1500015A07Rik,0.043446269,0.819969548,1.97E-01,0.635641946
1500015L24Rik,0,1,0.00E+00,
1500026H17Rik,0.018735362,1,1.24E-01,0.750787355
1500035N22Rik,-0.01471511,0.923612616,-8.02E-02,0.831405676
1600002D24Rik,-0.007109198,0.966070856,-3.34E-02,0.925901682
1600010M07Rik,0,1,0.00E+00,
1600012H06Rik,0.267026158,0.039649981,2.26E+00,0.005512463
1600012P17Rik,0.010894243,1,1.13E-01,0.770734422
1600014C10Rik,0.17578109,0.163835932,1.37E+00,0.042715508
1600014C23Rik,0,1,0.00E+00,
1600015H23Rik,0,1,0.00E+00,
1600019K03Rik,0,1,0.00E+00,
1600020E01Rik,0.018489766,0.928655223,7.41E-02,0.843185841
1600023N17Rik,0.007495004,1,4.35E-02,0.904605888
1600025M17Rik,0,1,0.00E+00,
1600027J07Rik,0.033521284,1,3.05E-01,0.495886099
1600029I14Rik,0,1,0.00E+00,
1700001D01Rik,0.019964125,1,1.99E-01,0.633112576
1700001F09Rik,0,1,0.00E+00,
1700001G01Rik,0,1,0.00E+00,
1700001G11Rik,-0.017338366,1,-3.64E-01,0.43277503
1700001G17Rik,0.031748255,1,2.34E-01,0.583446197
1700001J03Rik,0.047201247,1,3.21E-01,0.477479236
1700001J04Rik,0.009322454,1,1.87E-01,0.650603056
1700001K19Rik,-0.102041882,1,-1.17E+00,0.067127015
1700001K23Rik,0.011431264,1,2.35E-01,0.581892658
1700001L05Rik,-0.373001844,0.011508727,-2.99E+00,0.001011941
1700001O22Rik,-0.216262594,0.161107936,-1.38E+00,0.04177994
1700003C15Rik,0,1,0.00E+00,
1700003D09Rik,-1.243345814,3.78E-05,-6.01E+00,9.75E-07
1700003E16Rik,-0.052275335,1,-4.19E-01,0.381198885
1700003E24Rik,0,1,0.00E+00,
1700003F12Rik,-0.135052309,1,-1.70E+00,0.019933239
1700003G18Rik,0.031522637,1,4.31E-01,0.370391359
1700003H04Rik,0,1,0.00E+00,
1700003I22Rik,0,1,0.00E+00,
1700003L19Rik,0,1,0.00E+00,
1700003M07Rik,-0.006616442,1,-5.06E-02,0.889983314
1700003P14Rik,0,1,0.00E+00,
1700006A11Rik,0,1,0.00E+00,
1700006F04Rik,0,1,0.00E+00,
1700006H20Rik,0,1,0.00E+00,
1700006H21Rik,0,1,0.00E+00,
1700006J14Rik,-0.003818732,1,-4.63E-02,0.898907883
1700007F19Rik,0,1,0.00E+00,
1700007J10Rik,-0.264076891,1,-1.88E+00,0.013206216
1700007L15Rik,-0.079665277,0.597031501,-4.55E-01,0.350589149
1700007P06Rik,0,1,0.00E+00,
1700008C04Rik,-0.100349957,0.469328991,-6.40E-01,0.228848528
1700008J07Rik,-0.017615346,0.927440731,-7.57E-02,0.840016981
1700008K24Rik,0,1,0.00E+00,
1700008O03Rik,-0.099857518,0.406175865,-7.44E-01,0.180155001
1700009C05Rik,0,1,0.00E+00,
1700009J07Rik,0,1,0.00E+00,
1700009N14Rik,0,1,0.00E+00,
1700010B08Rik,0.009322454,1,1.87E-01,0.650603056
1700010D01Rik,0,1,0.00E+00,
1700010G06Rik,0.047787296,1,5.40E-01,0.288662963
1700010H22Rik,0,1,0.00E+00,
1700010I02Rik,0,1,0.00E+00,
1700010I14Rik,-0.023673604,0.894701299,-1.12E-01,0.77244481
1700010J16Rik,0,1,0.00E+00,
1700010K23Rik,0,1,0.00E+00,
1700010L04Rik,0,1,0.00E+00,
1700010N08Rik,0,1,0.00E+00,
1700011B04Rik,0,1,0.00E+00,
1700011C11Rik,0,1,0.00E+00,
1700011L22Rik,0.001343367,1,1.48E-02,0.966546389
1700012A03Rik,0,1,0.00E+00,
1700012B07Rik,0,1,0.00E+00,
1700012B09Rik,0,1,0.00E+00,
1700012C14Rik,0,1,0.00E+00,
1700012D01Rik,-0.101210117,1,-1.16E+00,0.06891634
1700012D16Rik,0,1,0.00E+00,
1700012H19Rik,-0.023719946,1,-2.05E-01,0.623325221
1700012I11Rik,0,1,0.00E+00,
1700012J15Rik,0,1,0.00E+00,
1700013D24Rik,0,1,0.00E+00,
1700013G24Rik,0,1,0.00E+00,
1700013H16Rik,0,1,0.00E+00,
1700013N06Rik,0,1,0.00E+00,
1700014L14Rik,0,1,0.00E+00,
1700015C15Rik,0,1,0.00E+00,
1700015I17Rik,0,1,0.00E+00,
1700016A09Rik,-0.225110854,0.131356675,-1.52E+00,0.030518022
1700016B01Rik,0,1,0.00E+00,
1700016C19Rik,0,1,0.00E+00,
1700016G22Rik,-0.822794674,1,-3.24E+00,0.000573958
1700016H13Rik,-0.026987058,1,-2.23E-01,0.598965443
1700016J18Rik,0,1,0.00E+00,
1700016K05Rik,0,1,0.00E+00,
1700016L04Rik,-0.022909118,1,-1.58E-01,0.695243146
1700016L21Rik,0,1,0.00E+00,
1700016P04Rik,0,1,0.00E+00,
1700017B05Rik,-0.189151548,0.176808493,-1.32E+00,0.048216027
1700017G19Rik,0,1,0.00E+00,
1700017J07Rik,0,1,0.00E+00,
1700017L05Rik,0,1,0.00E+00,
1700017M07Rik,0,1,0.00E+00,
1700017N19Rik,0,1,0.00E+00,
1700018A04Rik,0,1,0.00E+00,
1700018A23Rik,-0.164004134,1,-1.40E+00,0.040210412
1700018B08Rik,-0.008680601,1,-7.46E-02,0.84214153
1700018F24Rik,0,1,0.00E+00,
1700018L02Rik,0.003597631,1,1.88E-02,0.957572383
1700019A02Rik,-0.098977648,1,-7.98E-01,0.159199258
1700019C18Rik,0,1,0.00E+00,
1700019D03Rik,-0.078380043,0.620695106,-4.26E-01,0.374862855
1700019E08Rik,0,1,0.00E+00,
