gene,fold.change,p.adjvalue,rank,pvalue
0610005C13Rik,0.115554632,0.602543888,0.583382165,0.260986375
0610006L08Rik,0,1,0,
0610009E02Rik,-0.023014542,0.933039422,-0.097320973,0.799243341
0610009L18Rik,-0.04454104,0.868043684,-0.188810363,0.647425255
0610010K14Rik,-0.046097718,0.845632554,-0.222378478,0.599268599
0610025J13Rik,0,1,0,
0610030E20Rik,-0.071838842,0.729671838,-0.392793478,0.404768327
0610031O16Rik,-0.178063391,0.427456324,-0.890664689,0.128627939
0610038B21Rik,-0.074899895,1,-0.867133117,0.135789717
0610039H22Rik,0.103889937,0.672388442,0.482377514,0.329323321
0610039K10Rik,-0.155623074,0.506261237,-0.742537107,0.180910133
0610040B10Rik,0.013612768,0.966399369,0.052740172,0.885645311
0610040F04Rik,-0.04714436,0.857661481,-0.204588709,0.624325813
0610040J01Rik,0.260355186,0.30810894,1.143660748,0.071835522
0610042G04Rik,-0.014244455,0.96354151,-0.058030922,0.874921479
0610043K17Rik,-0.11856253,0.626713347,-0.550276335,0.281659021
1100001I12Rik,-0.014620206,1,-0.176686759,0.665753167
1110002E22Rik,0.018969777,1,0.239690382,0.575850327
1110002J07Rik,0.095033356,0.697917889,0.440613019,0.362565921
1110002L01Rik,-0.041509744,0.865329197,-0.192849612,0.641431654
1110002O04Rik,-0.00116914,1,-0.011896564,0.97297893
1110004F10Rik,-0.055915157,0.797932147,-0.292283592,0.510171752
1110006O24Rik,0.007867165,1,0.036170498,0.920088287
1110015O18Rik,0.020414792,1,0.260718738,0.54863216
1110018N20Rik,-0.031064191,1,-0.177908891,0.663882329
1110019D14Rik,0.14498101,0.543580364,0.678583605,0.209612122
1110020A21Rik,0.187063821,0.395875171,0.952339133,0.111599145
1110025L11Rik,0,1,0,
1110025M09Rik,0.025379415,0.928984971,0.102507749,0.789754758
1110028F11Rik,0,1,0,
1110028F18Rik,0,1,0,
1110032F04Rik,0.014255899,0.961636707,0.059959619,0.871044577
1110036E04Rik,0.005027258,1,0.022169264,0.950234373
1110038B12Rik,-0.097757197,0.648399156,-0.516385517,0.304519062
1110038F14Rik,0.064061547,0.773254429,0.327408697,0.470534317
1110046J04Rik,-0.070723215,1,-0.823453367,0.150157363
1110057P08Rik,0,1,0,
1110058D11Rik,0,1,0,
1110059E24Rik,0.074686559,0.724510585,0.400215481,0.397909693
1110059G10Rik,-0.184678984,0.343447338,-1.062034704,0.08668926
1110065P20Rik,0.100070918,0.682478862,0.46438421,0.343254145
1190005I06Rik,0,1,0,
1190028D05Rik,0.028199105,1,0.381126402,0.415789577
1300002E11Rik,-0.008473098,0.977833214,-0.034918678,0.922744195
1500002C15Rik,0.000544624,0.99844008,0.002110728,0.99515166
1500002F19Rik,-0.166126915,0.48665599,-0.778561972,0.166509121
1500004A13Rik,-0.001641347,0.996078339,-0.006028256,0.986215319
1500009L16Rik,0.071567787,1,0.482266973,0.329407154
1500011B03Rik,0.134188174,0.535888754,0.692622842,0.20294444
1500012K07Rik,0.018969777,1,0.239690382,0.575850327
1500015A07Rik,0.190069526,0.417364803,0.910985639,0.122747982
1500015L24Rik,0.028199105,1,0.381126402,0.415789577
1500026H17Rik,0.093230648,1,1.074784186,0.084181336
1500035N22Rik,0.020414792,1,0.260718738,0.54863216
1600002D24Rik,-0.014319636,1,-0.093362683,0.806561183
1600010M07Rik,0.047503981,0.85860757,0.203150999,0.626396037
1600012H06Rik,0.037022151,0.88035146,0.172963921,0.671484634
1600012P17Rik,-0.004698168,1,-0.047226993,0.896959858
1600014C10Rik,-0.217752339,0.226177018,-1.373895448,0.042277038
1600014C23Rik,0,1,0,
1600015H23Rik,0,1,0,
1600019K03Rik,0,1,0,
1600020E01Rik,0.001315389,0.996100995,0.005318361,0.987828697
1600023N17Rik,0.005088892,1,0.031910903,0.929156987
1600025M17Rik,0,1,0,
1600027J07Rik,0,1,0,
1600029I14Rik,0,1,0,
1700001D01Rik,0.026645748,1,0.356167313,0.440385171
1700001F09Rik,0,1,0,
1700001G01Rik,0,1,0,
